Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication
1rp8_A_cavity_1,8,4.831,0.6039,4,1,1,2,0,0,Alpha-amylase type A isozyme,NONE,P00693,Carbohydrate transport and metabolism,NONE,NONE
1tu9_A_cavity_1,6,3.62,0.6033,4,1,0,0,1,0,Hypothetical protein,NONE,Q9HX49,Involved in iron ion binding,NONE,NONE
1dos_A_cavity_1,6,3.618,0.6031,4,1,0,1,0,0,Fructose-bisphosphate aldolase class 2,NONE,P0AB71,Carbohydrate transport and metabolism,NONE,NONE
1qcb_F_cavity_1,6,3.617,0.6028,5,1,0,0,0,0,"Heat-labile enterotoxin IIB, B chain",NONE,P43529,NONE,NONE,NONE
2fge_B_cavity_5,6,3.613,0.6021,4,1,1,0,0,0,"Presequence protease 1, chloroplastic/mitochondrial",NONE,Q9LJL3,NONE,NONE,NONE
3c7g_A_cavity_3,6,3.607,0.6012,4,1,0,1,0,0,Arabinoxylan arabinofuranohydrolase,NONE,Q45071,NONE,NONE,NONE
2btu_B_cavity_2,6,3.606,0.601,5,0,1,0,0,0,Phosphoribosylformylglycinamidine cyclo-ligase,NONE,Q81ZH0,NONE,NONE,NONE
1mj4_A_cavity_1,7,4.203,0.6005,6,1,0,0,0,0,"Sulfite oxidase, mitochondrial",NONE,P51687,NONE,NONE,NONE
1ml8_A_cavity_1,6,3.602,0.6003,6,0,0,0,0,0,Protein yhfA,NONE,P0ADX3,NONE,NONE,NONE
1v1f_A_cavity_1,6,3.595,0.5992,5,1,0,0,0,0,Calcineurin B-like protein 4,NONE,O81223,Involved in calcium ion binding,NONE,NONE
1ku9_A_cavity_1,6,3.593,0.5988,5,0,0,0,1,0,DNA-binding protein MJ1563,NONE,Q58958,NONE,NONE,NONE
3dra_B_cavity_4,6,3.589,0.5982,5,0,1,0,0,0,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,NONE,Q9Y765,NONE,NONE,NONE
1vi1_B_cavity_2,7,4.183,0.5975,5,0,1,1,0,0,Fatty acid/phospholipid synthesis protein plsX,NONE,P71018,NONE,NONE,NONE
1rfj_A_cavity_1,6,3.57,0.5951,5,0,1,0,0,0,Calmodulin-5/6/7/8,NONE,Q7DMN9,Involved in calcium ion binding,NONE,NONE
2cqe_A_cavity_1,8,4.759,0.5948,6,0,1,1,0,0,Zinc finger CCCH domain-containing protein 4,NONE,Q9UPT8,NONE,NONE,NONE
1fdy_B_cavity_2,6,3.561,0.5935,6,0,0,0,0,0,N-acetylneuraminate lyase,NONE,P0A6L4,Catalyzes the reversible aldol cleavage of N-acetylneuraminic acid (sialic acid; Neu5Ac) to form pyruvate and N-acetylmannosamine (ManNAc) via a Schiff base intermediate.,NONE,NONE
1yi5_I_cavity_1,7,4.151,0.593,5,0,1,1,0,0,Acetylcholine-binding protein,NONE,P58154,Involved in extracellular ligand-gated ion channel activity,NONE,For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.
1to6_A_cavity_3,6,3.554,0.5923,6,0,0,0,0,0,Glycerate kinase,NONE,P57098,NONE,NONE,NONE
2z3x_A_cavity_1,6,3.552,0.592,5,1,0,0,0,0,"Small, acid-soluble spore protein C",NONE,P02958,NONE,NONE,NONE
1qca_A_cavity_1,7,4.139,0.5913,7,0,0,0,0,0,Chloramphenicol acetyltransferase 3,NONE,P00484,Involved in chloramphenicol O-acetyltransferase activity,NONE,"Used in treatment of cholera, as it destroys the vibrios and decreases the diarrhea. It is effective against tetracycline-resistant vibrios. It is also used in eye drops or ointment to treat bacterial conjunctivitis."
2zme_A_cavity_1,6,3.546,0.5911,5,1,0,0,0,0,Vacuolar-sorting protein SNF8,NONE,Q96H20,NONE,NONE,NONE
1ma1_A_cavity_1,6,3.546,0.591,5,1,0,0,0,0,Superoxide dismutase [Fe],NONE,P18868,NONE,NONE,NONE
1wgw_A_cavity_1,7,4.13,0.59,6,1,0,0,0,0,Signal recognition particle 54 kDa protein,NONE,P14576,NONE,NONE,NONE
1lqy_A_cavity_1,7,4.116,0.588,4,0,2,0,1,0,Peptide deformylase 2,NONE,O31410,"Translation, ribosomal structure and biogenesis",NONE,NONE
1vrb_B_cavity_3,6,3.525,0.5875,3,2,0,0,1,0,Uncharacterized protein yxbC,NONE,P46327,NONE,NONE,NONE
2hyd_A_cavity_2,6,3.525,0.5874,6,0,0,0,0,0,Putative multidrug export ATP-binding/permease protein SAV1866,NONE,Q99T13,NONE,NONE,NONE
1a4e_A_cavity_2,7,4.107,0.5867,6,1,0,0,0,0,Peroxisomal catalase A,NONE,P15202,Involved in catalase activity,NONE,NONE
1x65_A_cavity_1,6,3.519,0.5865,4,1,0,0,1,0,Cold shock domain-containing protein E1,NONE,O75534,NONE,NONE,NONE
1k8g_B_cavity_2,6,3.513,0.5855,4,0,1,0,1,0,Telomere-binding protein subunit alpha,NONE,P29549,NONE,NONE,NONE
2p63_B_cavity_1,6,3.502,0.5836,6,0,0,0,0,0,Cell division control protein 4,NONE,P07834,NONE,NONE,NONE
1uvx_A_cavity_1,7,4.08,0.5829,5,1,0,0,1,0,Globin LI637,NONE,Q08753,Involved in oxygen binding,NONE,NONE
3eyj_B_cavity_2,6,3.491,0.5818,3,0,2,1,0,0,Hemagglutinin,NONE,P26137,NONE,NONE,NONE
1ll0_A_cavity_1,7,4.071,0.5816,6,1,0,0,0,0,Glycogenin-1,NONE,P13280,"Involved in transferase activity, transferring hexosyl groups",NONE,NONE
3czm_A_cavity_2,7,4.064,0.5806,4,1,1,0,1,0,L-lactate dehydrogenase,NONE,Q27797,Energy production and conversion,NONE,NONE
1egw_D_cavity_2,6,3.482,0.5804,4,2,0,0,0,0,Myocyte-specific enhancer factor 2A,NONE,Q02078,NONE,NONE,NONE
1h7y_A_cavity_3,6,3.481,0.5802,3,1,1,1,0,0,Translationally-controlled tumor protein homolog,NONE,Q10344,NONE,NONE,NONE
1h9t_A_cavity_1,8,4.639,0.5798,7,1,0,0,0,0,Fatty acid metabolism regulator protein,NONE,P0A8V6,NONE,NONE,NONE
3dh4_D_cavity_3,6,3.479,0.5798,6,0,0,0,0,0,Sodium/glucose cotransporter,TRANSPORT PROTEIN,SGLT_VIBPA,Actively transports glucose into cells by Na(+) cotransport (By similarity).,NONE,Diabetes mellitus;Non-insulin dependent diabetes;Obesity
1xvi_A_cavity_1,6,3.475,0.5792,5,0,1,0,0,0,Putative mannosyl-3-phosphoglycerate phosphatase,NONE,P76329,Involved in catalytic activity,NONE,NONE
2fyn_M_cavity_1,7,4.053,0.579,7,0,0,0,0,0,Cytochrome b,NONE,Q02761,NONE,NONE,NONE
2vv5_F_cavity_2,7,4.053,0.5789,6,1,0,0,0,0,Small-conductance mechanosensitive channel,MEMBRANE PROTEIN,MSCS_ECOLI,"Mechanosensitive channel that participates in the regulation of osmotic pressure changes within the cell, opening in response to stretch forces in the membrane lipid bilayer, without the need for other proteins. Forms an ion channel of 1.0 nanosiemens con;The channel pore is formed by TM3 and the loop between TM2 and TM3. After a sharp turn at Gly-113, an alpha-helix (residues 114-127) is oriented nearly parallel to the plane of the putative lipid bilayer. On the intracellular side of the channel, the perm",NONE,NONE
2bjh_B_cavity_2,7,4.049,0.5784,3,1,1,0,2,0,Feruloyl esterase A,NONE,O42807,NONE,NONE,NONE
2czy_A_cavity_1,6,3.464,0.5774,6,0,0,0,0,0,Paired amphipathic helix protein Sin3b,NONE,Q62141,NONE,NONE,NONE
1lnm_A_cavity_2,7,4.038,0.5769,5,0,1,0,1,0,Bilin-binding protein,LIGAND BINDING PROTEIN,BBP_PIEBR,This protein binds the blue pigments bilins.,NONE,NONE
2if2_C_cavity_2,6,3.459,0.5766,5,1,0,0,0,0,Dephospho-CoA kinase,NONE,O67792,NONE,NONE,NONE
1ahj_F_cavity_2,6,3.457,0.5761,6,0,0,0,0,0,Nitrile hydratase subunit alpha,NONE,P13448,NONE,NONE,NONE
3fru_E_cavity_1,7,4.03,0.5757,5,0,2,0,0,0,IgG receptor FcRn large subunit p51,NONE,P13599,NONE,NONE,NONE
1rso_A_cavity_1,6,3.454,0.5757,5,1,0,0,0,0,Disks large homolog 1,NONE,Q62696,NONE,NONE,NONE
1k1g_A_cavity_1,6,3.453,0.5755,5,0,1,0,0,0,Splicing factor 1,NONE,Q15637,NONE,NONE,NONE
1igw_B_cavity_1,6,3.453,0.5755,5,1,0,0,0,0,Isocitrate lyase,NONE,P0A9G6,NONE,NONE,NONE
1f0o_A_cavity_1,6,3.452,0.5753,5,0,1,0,0,0,Type-2 restriction enzyme PvuII,NONE,P23657,NONE,NONE,NONE
1c8v_A_cavity_3,6,3.446,0.5743,4,0,1,1,0,0,Tryptophan synthase alpha chain,NONE,P00929,NONE,NONE,NONE
2bdr_B_cavity_1,7,4.016,0.5737,6,0,1,0,0,0,Ureidoglycolate hydrolase,NONE,P59285,NONE,NONE,NONE
2i36_B_cavity_1,6,3.438,0.573,5,1,0,0,0,0,Rhodopsin,NONE,P02699,NONE,NONE,NONE
3ed1_C_cavity_1,7,4.006,0.5723,3,0,2,2,0,0,Gibberellin receptor GID1,NONE,Q6L545,NONE,NONE,NONE
1kvd_B_cavity_1,6,3.43,0.5717,5,1,0,0,0,0,Salt-mediated killer protoxin 1,NONE,P19972,NONE,NONE,NONE
3cuo_A_cavity_1,6,3.429,0.5715,5,1,0,0,0,0,Probable HTH-type transcriptional regulator ygaV,NONE,P77295,NONE,NONE,NONE
1g0b_B_cavity_1,6,3.42,0.57,5,0,0,0,1,0,Hemoglobin subunit alpha,NONE,P01958,NONE,NONE,NONE
1k9k_A_cavity_2,6,3.419,0.5698,4,0,1,1,0,0,Protein S100-A6,SIGNALING PROTEIN,S10A6_HUMAN,NONE,NONE,NONE
1lqs_L_cavity_2,6,3.404,0.5674,5,0,1,0,0,0,Interleukin-10 receptor alpha chain,IMMUNE SYSTEM,I10R1_HUMAN,Receptor for IL10; binds IL10 with a high affinity.,NONE,NONE
1n46_B_cavity_1,6,3.401,0.5669,3,0,1,0,2,0,Thyroid hormone receptor beta,NONE,P10828,"Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine.",NONE,NONE
1w2l_A_cavity_1,6,3.396,0.5661,5,0,1,0,0,0,Cytochrome oxidase subunit II,NONE,Q9F3S9,Involved in copper ion binding,NONE,NONE
2z5f_A_cavity_1,6,3.394,0.5657,3,1,1,0,1,0,Sulfotransferase family cytosolic 1B member 1,TRANSFERASE,ST1B1_HUMAN,"Catalyzes the sulfate conjugation of many hormones, neurotransmitters, drugs and xenobiotic compounds. Sulfonation increases the water solubility of most compounds, and therefore their renal excretion, but it can also result in bioactivation to form activ",NONE,NONE
2pff_H_cavity_1,7,3.959,0.5656,4,1,1,1,0,0,Fatty acid synthase subunit alpha,NONE,P19097,NONE,NONE,NONE
3g3o_A_cavity_3,6,3.393,0.5656,4,1,1,0,0,0,Vacuolar transporter chaperone 2,NONE,P43585,NONE,NONE,NONE
2w4o_A_cavity_1,6,3.393,0.5656,5,0,0,1,0,0,Calcium/calmodulin-dependent protein kinase type IV,NONE,Q16566,NONE,NONE,NONE
1xap_A_cavity_1,6,3.388,0.5647,5,1,0,0,0,0,Retinoic acid receptor beta,TRANSCRIPTION,RARB_HUMAN,This is a receptor for retinoic acid. This metabolite has profound effects on vertebrate development. Retinoic acid is a morphogen and is a powerful teratogen. This receptor controls cell function by directly regulating gene expression.,NONE,Psoriasis;Acne;Cancer
2uzf_A_cavity_1,6,3.387,0.5645,3,1,1,1,0,0,Naphthoate synthase,NONE,Q5HH38,NONE,NONE,NONE
1hbp_A_cavity_1,6,3.382,0.5637,5,1,0,0,0,0,Retinol-binding protein 4,NONE,P18902,Involved in retinoid binding,NONE,NONE
2ayi_C_cavity_2,6,3.382,0.5637,5,0,1,0,0,0,Aminopeptidase T,NONE,P42778,NONE,NONE,NONE
1wh0_A_cavity_1,6,3.376,0.5627,4,0,1,0,1,0,Ubiquitin carboxyl-terminal hydrolase 19,HYDROLASE,UBP19_HUMAN,Involved in the ubiquitin-dependent proteolytic pathway in conjunction with the 26S proteasome (By similarity).,NONE,NONE
1u63_C_cavity_2,7,3.937,0.5625,5,0,1,1,0,0,50S ribosomal protein L1P,NONE,P54050,"Translation, ribosomal structure and biogenesis",NONE,NONE
2k8y_A_cavity_1,7,3.927,0.561,6,1,0,0,0,0,Uncharacterized protein MJ0187,NONE,Q57646,NONE,NONE,NONE
1fpp_B_cavity_2,8,4.469,0.5587,5,0,1,1,1,0,Protein farnesyltransferase subunit beta,NONE,Q02293,NONE,NONE,NONE
1js6_B_cavity_2,7,3.907,0.5581,7,0,0,0,0,0,Aromatic-L-amino-acid decarboxylase,NONE,P80041,"Catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine, L-5-hydroxytryptophan to serotonin and L-tryptophan to tryptamine.",NONE,NONE
1xnr_J_cavity_1,7,3.906,0.558,6,1,0,0,0,0,30S ribosomal protein S2,NONE,P80371,NONE,NONE,NONE
2c62_A_cavity_1,7,3.893,0.5562,5,1,0,1,0,0,Activated RNA polymerase II transcriptional coactivator p15,NONE,P53999,NONE,NONE,NONE
1jyh_A_cavity_1,8,4.449,0.5561,7,0,0,1,0,0,DNA gyrase inhibitory protein,NONE,P33012,NONE,NONE,NONE
1w63_E_cavity_3,7,3.891,0.5559,6,1,0,0,0,0,AP-1 complex subunit gamma-1,NONE,P22892,NONE,NONE,NONE
1q8b_A_cavity_1,7,3.889,0.5556,4,0,1,1,1,0,Uncharacterized protein yjcS,NONE,O31641,NONE,NONE,NONE
3eay_A_cavity_1,7,3.886,0.5551,3,1,1,0,2,0,Sentrin-specific protease 7,HYDROLASE,SENP7_HUMAN,"Protease that deconjugates SUMO2 and SUMO3 from targeted proteins, but not SUMO1. Catalyzes the deconjugation of poly-SUMO2 and poly-SUMO3 chains. Has very low efficiency in processing full- length SUMO proteins to their mature forms.",NONE,NONE
1c0l_A_cavity_2,7,3.883,0.5548,6,1,0,0,0,0,D-amino-acid oxidase,NONE,P80324,Amino acid transport and metabolism,NONE,NONE
1gqg_A_cavity_2,8,4.435,0.5543,5,1,1,0,1,0,"Quercetin 2,3-dioxygenase",NONE,Q7SIC2,"Involved in quercetin 2,3-dioxygenase activity",NONE,NONE
1veg_A_cavity_1,7,3.87,0.5528,5,1,1,0,0,0,NEDD8 ultimate buster 1,NONE,P54729,NONE,NONE,NONE
2nzt_B_cavity_6,7,3.869,0.5527,5,2,0,0,0,0,Hexokinase-2,TRANSFERASE,HXK2_HUMAN,NONE,NONE,NONE
1n97_A_cavity_2,7,3.868,0.5525,6,1,0,0,0,0,Cytochrome P450,NONE,Q746J6,Involved in monooxygenase activity,NONE,NONE
1q23_H_cavity_1,7,3.861,0.5515,7,0,0,0,0,0,Chloramphenicol acetyltransferase,NONE,P62580,Involved in chloramphenicol O-acetyltransferase activity,NONE,For the treatment of bacterial infections.
2vxq_H_cavity_2,7,3.859,0.5513,4,1,1,1,0,0,Pollen allergen Phl p 2,NONE,P43214,NONE,NONE,NONE
1or6_B_cavity_1,7,3.854,0.5505,5,1,0,1,0,0,Heme-based aerotactic transducer hemAT,NONE,O07621,Involved in signal transducer activity,NONE,NONE
1v5b_C_cavity_1,7,3.853,0.5504,4,1,1,0,1,0,3-isopropylmalate dehydrogenase,NONE,P12010,NONE,NONE,NONE
2a9e_A_cavity_2,9,4.939,0.5488,3,2,1,0,3,0,Catalase,NONE,P77872,Involved in catalase activity,NONE,NONE
2qqh_A_cavity_2,7,3.839,0.5485,4,0,2,0,1,0,Complement component C8 alpha chain,NONE,P07357,NONE,NONE,NONE
1emy_A_cavity_1,10,5.483,0.5483,6,1,1,0,2,0,Myoglobin,NONE,P02186,NONE,NONE,NONE
2daf_A_cavity_2,7,3.832,0.5474,5,1,0,0,1,0,IQ and ubiquitin-like domain-containing protein,NONE,Q8NA54,NONE,NONE,NONE
