From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
O02372,O02372,reviewed,OB76A_DROME,General odorant-binding protein lush,lush Obp76a Obp76c CG8807,Drosophila melanogaster (Fruit fly),153
Q9X2A4,Q9X2A4,reviewed,ARGB_THEMA,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),argB TM_1784,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),282
Q51693,Q51693,reviewed,CAPD_BACAN,Capsule biosynthesis protein CapD proenzyme (EC 2.3.2.-) [Cleaved into: Capsule biosynthesis protein CapD large chain; Capsule biosynthesis protein CapD small chain],capD dep pXO2-55 BXB0063 GBAA_pXO2_0063,Bacillus anthracis,528
P0C0B0,P0C0B0,reviewed,Y1400_ARATH,Uncharacterized protein At1g24000,At1g24000 T23E23.17,Arabidopsis thaliana (Mouse-ear cress),122
P42315,P42315,reviewed,SCOA_BACSU,Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A),scoA yxjD BSU38990 N15K,Bacillus subtilis (strain 168),238
P0C0Y7,P0C0Y7,reviewed,RCEH_CERSP,Reaction center protein H chain (Photosynthetic reaction center H subunit),puhA,Cereibacter sphaeroides (Rhodobacter sphaeroides),260
Q00403,Q00403,reviewed,TF2B_HUMAN,Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (S300-II),GTF2B TF2B TFIIB,Homo sapiens (Human),316
O87014,O87014,reviewed,USG_PSEAE,USG-1 protein homolog,usg PA3116,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),336
Q06319,Q06319,reviewed,ACDS_MEGEL,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) (Butyryl-CoA dehydrogenase) (BCAD) (SCAD)",,Megasphaera elsdenii,383
P56081,P56081,reviewed,AROB_HELPY,3-dehydroquinate synthase (DHQS) (EC 4.2.3.4),aroB HP_0283,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),343
P81402,P81402,reviewed,NLTP1_PRUPE,Non-specific lipid-transfer protein 1 (LTP 1) (Allergen Pru p 1) (Major allergen Pru p 3) (allergen Pru p 3),,Prunus persica (Peach) (Amygdalus persica),91
Q52430,Q52430,reviewed,AVRP3_PSESH,Cysteine protease avirulence protein AvrPphB (EC 3.4.22.-) [Cleaved into: 7 kDa product; 28 kDa product],avrPph3,Pseudomonas savastanoi pv. phaseolicola (Pseudomonas syringae pv. phaseolicola),267
FRDA_ECOLI,P00363,reviewed,FRDA_ECOLI,Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit),frdA b4154 JW4115,Escherichia coli (strain K12),602
P42671,P42671,reviewed,CAPSH_ADEG1,Hexon protein (CP-H) (Protein II),L3,Fowl adenovirus A serotype 1 (strain CELO / Phelps) (FAdV-1) (Avian adenovirus gal1 (strain Phelps)),942
P14335,P14335,reviewed,POLG_KUNJM,Genome polyprotein [Cleaved into: Peptide 2k; Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease/Helicase NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (NS5)],,Kunjin virus (strain MRM61C),3433
P39040,P39040,reviewed,TYTR_CRIFA,"Trypanothione reductase (TR) (EC 1.8.1.12) (N(1),N(8)-bis(glutathionyl)spermidine reductase)",TPR,Crithidia fasciculata,491
Q60520,Q60520,reviewed,SIN3A_MOUSE,Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a),Sin3a Kiaa4126,Mus musculus (Mouse),1274
P0A111,P0A111,reviewed,NDOB_PSEU8,"Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)",doxB,Pseudomonas sp. (strain C18),449
CLPP_HUMAN,Q16740,reviewed,CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Caseinolytic mitochondrial matrix peptidase proteolytic subunit) (Endopeptidase Clp)",CLPP,Homo sapiens (Human),277
P02299,P02299,reviewed,H3_DROME,Histone H3,His3; His3:CG31613 CG31613; His3:CG33803 CG33803; His3:CG33806 CG33806; His3:CG33809 CG33809; His3:CG33812 CG33812; His3:CG33815 CG33815; His3:CG33818 CG33818; His3:CG33821 CG33821; His3:CG33824 CG33824; His3:CG33827 CG33827; His3:CG33830 CG33830; His3:CG33833 CG33833; His3:CG33836 CG33836; His3:CG33839 CG33839; His3:CG33842 CG33842; His3:CG33845 CG33845; His3:CG33848 CG33848; His3:CG33851 CG33851; His3:CG33854 CG33854; His3:CG33857 CG33857; His3:CG33860 CG33860; His3:CG33863 CG33863; His3:CG33866 CG33866,Drosophila melanogaster (Fruit fly),136
P00173,P00173,reviewed,CYB5_RAT,Cytochrome b5,Cyb5a Cyb5,Rattus norvegicus (Rat),134
P0C6G6,P0C6G6,reviewed,MYP2_HORSE,Myelin P2 protein,PMP2,Equus caballus (Horse),132
ZA2G_HUMAN,P25311,reviewed,ZA2G_HUMAN,Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein),AZGP1 ZAG ZNGP1,Homo sapiens (Human),298
Q8R3G1,Q8R3G1,reviewed,PP1R8_MOUSE,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8),Ppp1r8 Nipp1,Mus musculus (Mouse),351
P51149,P51149,reviewed,RAB7A_HUMAN,Ras-related protein Rab-7a (EC 3.6.5.2),RAB7A RAB7,Homo sapiens (Human),207
Q01738,Q01738,reviewed,CDH_PHACH,Cellobiose dehydrogenase (CDH) (EC 1.1.99.18) (Cellobiose-quinone oxidoreductase),CDH-1; CDH-2,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),773
P02638,P02638,reviewed,S100B_BOVIN,Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B),S100B,Bos taurus (Bovine),92
Q8TBX8,Q8TBX8,reviewed,PI42C_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma),PIP4K2C PIP5K2C,Homo sapiens (Human),421
Q62986,Q62986,reviewed,ESR2_RAT,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),Esr2 Erbeta Nr3a2,Rattus norvegicus (Rat),530
Q9QXT8,Q9QXT8,reviewed,CSEN_MOUSE,Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3),Kcnip3 Csen Dream Kchip3,Mus musculus (Mouse),256
P08716,P08716,reviewed,HLYBP_ECOLX,Alpha-hemolysin translocation ATP-binding protein HlyB,hlyB,Escherichia coli,707
O94258,O94258,reviewed,XPOT_SCHPO,Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin),los1 SPBP8B7.09c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),978
P04968,P04968,reviewed,ILVA_ECOLI,L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase),ilvA b3772 JW3745,Escherichia coli (strain K12),514
P68135,P68135,reviewed,ACTS_RABIT,"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]",ACTA1 ACTA,Oryctolagus cuniculus (Rabbit),377
O31511,O31511,reviewed,YESE_BACSU,Uncharacterized protein YesE,yesE yeeL BSU06870,Bacillus subtilis (strain 168),147
Q8N6N7,Q8N6N7,reviewed,ACBD7_HUMAN,Acyl-CoA-binding domain-containing protein 7,ACBD7,Homo sapiens (Human),88
P25604,P25604,reviewed,STP22_YEAST,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),385
Q42521,Q42521,reviewed,DCE1_ARATH,Glutamate decarboxylase 1 (GAD 1) (EC 4.1.1.15),GAD1 GAD GDH1 At5g17330 MKP11.30 MKP11_18,Arabidopsis thaliana (Mouse-ear cress),502
P39958,P39958,reviewed,GDI1_YEAST,Rab GDP-dissociation inhibitor (Rab GDI) (Secretory pathway GDP dissociation inhibitor),GDI1 SEC19 YER136W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),451
Q81G00,Q81G00,reviewed,HIS2_BACCR,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),hisE BC_1412,Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),107
O58316,O58316,reviewed,NIKR_PYRHO,Putative nickel-responsive regulator,PH0601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),138
P06616,P06616,reviewed,ERA_ECOLI,GTPase Era (ERA) (GTP-binding protein Era),era rbaA sdgE b2566 JW2550,Escherichia coli (strain K12),301
P32797,P32797,reviewed,CDC13_YEAST,Cell division control protein 13,CDC13 YDL220C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),924
P29082,P29082,reviewed,SOR_ACIAM,Sulfur oxygenase/reductase (EC 1.13.11.55) (Sulfur oxygenase reductase) (SOR),sor,Acidianus ambivalens (Desulfurolobus ambivalens),309
P83791,P83791,reviewed,CYB6_MASLA,Cytochrome b6,petB,Mastigocladus laminosus (Fischerella sp.),215
Q57609,Q57609,reviewed,GCH3_METJA,GTP cyclohydrolase III (EC 3.5.4.29) (MjGC),gch3 MJ0145,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),268
Q96DU7,Q96DU7,reviewed,IP3KC_HUMAN,"Inositol-trisphosphate 3-kinase C (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C)",ITPKC IP3KC,Homo sapiens (Human),683
P0AAQ9,P0AAQ9,reviewed,YBAA_SHIFL,Uncharacterized protein YbaA,ybaA SF0401 S0408,Shigella flexneri,117
P23881,P23881,reviewed,TCEA3_MOUSE,Transcription elongation factor A protein 3 (Transcription elongation factor S-II protein 3) (Transcription elongation factor TFIIS.h),Tcea3 Tfiish,Mus musculus (Mouse),347
Q8GR64,Q8GR64,reviewed,QHED_PSEPU,Quinohemoprotein alcohol dehydrogenase ADH IIB (ADH IIB) (EC 1.1.9.1) (Alcohol dehydrogenase (azurin)),qbdA,Pseudomonas putida (Arthrobacter siderocapsulatus),690
Q9K0I2,Q9K0I2,reviewed,PPSA_NEIMB,"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)",ppsA NMB0618,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),794
Q57594,Q57594,reviewed,T1S1_METJA,Type I restriction enzyme MjaVII specificity subunit (S protein) (Type I specificity subunit S.MjaVII) (S.MjaVII) (Type-1 restriction enzyme MjaXIP specificity subunit) (S.MjaXIP),MJ0130,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),425
P84284,P9WJH6,reviewed,NDK_MYCTO,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk MT2521,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),136
P84284,P9WJH7,reviewed,NDK_MYCTU,Nucleoside diphosphate kinase (NDK) (NDKA) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk Rv2445c MTCY428.01 MTV008.01c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),136
Q09472,Q09472,reviewed,EP300_HUMAN,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),EP300 P300,Homo sapiens (Human),2414
Q01852,Q01852,reviewed,TIM44_YEAST,Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1),TIM44 ISP45 MIM44 MPI1 YIL022W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),431
P20070,P20070,reviewed,NB5R3_RAT,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1),Cyb5r3 Dia1,Rattus norvegicus (Rat),301
Q06850,Q06850,reviewed,CDPK1_ARATH,Calcium-dependent protein kinase 1 (AtCDPK 1) (CDPK 1) (EC 2.7.11.1) (Calcium-dependent protein kinase isoform AK1),CPK1 AK1 At5g04870 MUK11.19,Arabidopsis thaliana (Mouse-ear cress),610
P00693,P00693,reviewed,AMY1_HORVU,"Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)",AMY1.1,Hordeum vulgare (Barley),438
Q9HX49,Q9HX49,unreviewed,Q9HX49_PSEAE,Globin domain-containing protein,PA3967,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),130
P0AB71,P0AB71,reviewed,ALF_ECOLI,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)",fbaA fba fda b2925 JW2892,Escherichia coli (strain K12),359
P43529,P43529,reviewed,E2BB_ECOLX,"Heat-labile enterotoxin IIB, B chain (LT-IIB)",,Escherichia coli,122
Q9LJL3,Q9LJL3,reviewed,PREP1_ARATH,"Presequence protease 1, chloroplastic/mitochondrial (AtPreP1) (PreP 1) (EC 3.4.24.-) (Zinc metalloprotease 1) (AtZnMP1)",PREP1 ZNMP1 At3g19170 MVI11.6 MVI11.7 MVI11_8,Arabidopsis thaliana (Mouse-ear cress),1080
Q45071,Q45071,reviewed,XYND_BACSU,"Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)",xynD BSU18160,Bacillus subtilis (strain 168),513
Q81ZH0,Q81ZH0,reviewed,PUR5_BACAN,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),purM BA_0296 GBAA_0296 BAS0283,Bacillus anthracis,346
P51687,P51687,reviewed,SUOX_HUMAN,"Sulfite oxidase, mitochondrial (EC 1.8.3.1)",SUOX,Homo sapiens (Human),545
P0ADX3,P0ADX3,reviewed,YHFA_ECO57,Protein YhfA,yhfA Z4717 ECs4207,Escherichia coli O157:H7,134
O81223,O81223,reviewed,CNBL4_ARATH,Calcineurin B-like protein 4 (Protein SALT OVERLY SENSITIVE 3),CBL4 SOS3 At5g24270 MOP9.8,Arabidopsis thaliana (Mouse-ear cress),222
Q58958,Q58958,reviewed,Y1563_METJA,Putative HTH-type transcriptional regulator MJ1563 (DNA-binding protein MJ1563),MJ1563,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),152
Q9Y765,Q9Y765,reviewed,FNTA_CANAX,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha),RAM2,Candida albicans (Yeast),306
P71018,P71018,reviewed,PLSX_BACSU,Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),plsX ylpD BSU15890,Bacillus subtilis (strain 168),333
Q7DMN9,Q7DMN9,reviewed,CALM5_SOLTU,Calmodulin-5/6/7/8 (CaM-5/6/7/8),PCM5; PCM6; PCM7; PCM8,Solanum tuberosum (Potato),149
Q9UPT8,Q9UPT8,reviewed,ZC3H4_HUMAN,Zinc finger CCCH domain-containing protein 4,ZC3H4 C19orf7 KIAA1064,Homo sapiens (Human),1303
P0A6L4,P0A6L4,reviewed,NANA_ECOLI,N-acetylneuraminate lyase (AcNeu lyase) (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase),nanA npl b3225 JW3194,Escherichia coli (strain K12),297
P58154,P58154,reviewed,ACHP_LYMST,Acetylcholine-binding protein (ACh-binding protein) (AchBP),,Lymnaea stagnalis (Great pond snail) (Helix stagnalis),229
P57098,P57098,reviewed,GLXK_NEIMA,Glycerate kinase (EC 2.7.1.31),glxK NMA1473,Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491),371
P02958,P02958,reviewed,SSPC_BACSU,"Small, acid-soluble spore protein C (SASP)",sspC BSU19950,Bacillus subtilis (strain 168),72
P00484,P00484,reviewed,CAT3_ECOLX,Chloramphenicol acetyltransferase 3 (EC 2.3.1.28) (Chloramphenicol acetyltransferase III) (CAT-III),cat3,Escherichia coli,213
Q96H20,Q96H20,reviewed,SNF8_HUMAN,Vacuolar-sorting protein SNF8 (ELL-associated protein of 30 kDa) (ESCRT-II complex subunit VPS22) (hVps22),SNF8 EAP30,Homo sapiens (Human),258
P18868,P18868,reviewed,SODF_METTH,Superoxide dismutase [Fe] (EC 1.15.1.1),sod MTH_160,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),205
P14576,P14576,reviewed,SRP54_MOUSE,Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein),Srp54,Mus musculus (Mouse),504
O31410,O31410,reviewed,DEF2_GEOSE,Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2),,Geobacillus stearothermophilus (Bacillus stearothermophilus),184
P46327,P46327,reviewed,YXBC_BACSU,Uncharacterized protein YxbC,yxbC yxaQ BSU39880 VE7D,Bacillus subtilis (strain 168),330
Q99T13,Q99T13,reviewed,Y1866_STAAM,Putative multidrug export ATP-binding/permease protein SAV1866 (EC 7.6.2.-),SAV1866,Staphylococcus aureus (strain Mu50 / ATCC 700699),578
P15202,P15202,reviewed,CATA_YEAST,Peroxisomal catalase A (EC 1.11.1.6),CTA1 YDR256C YD9320A.06C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),515
O75534,O75534,reviewed,CSDE1_HUMAN,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR,Homo sapiens (Human),798
P29549,P29549,reviewed,TEBA_STENO,Telomere-binding protein subunit alpha (TEBP alpha) (Telomere-binding protein 56 kDa subunit),MAC-56A; MAC-56K; MAC-56S,Sterkiella nova (Ciliate) (Oxytricha nova),495
P07834,P07834,reviewed,CDC4_YEAST,Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4),CDC4 YFL009W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),779
Q08753,Q08753,reviewed,TRHN1_CHLMO,Group 1 truncated hemoglobin LI637 (CtrHb) (Truncated Hb) (Globin LI637),LI637,Chlamydomonas moewusii (Chlamydomonas eugametos),164
P26137,P26137,reviewed,HEMA_I82A0,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,Influenza A virus (strain A/Mallard/Astrakhan/244/1982 H14N6) (Influenza A virus (strain A/Mallard/Gurjev/244/1982 H14N6)),563
P13280,P13280,reviewed,GLYG_RABIT,Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186),GYG1 GYG,Oryctolagus cuniculus (Rabbit),333
Q27797,Q27797,reviewed,LDH_TOXGO,L-lactate dehydrogenase (LDH) (EC 1.1.1.27),,Toxoplasma gondii,326
Q02078,Q02078,reviewed,MEF2A_HUMAN,Myocyte-specific enhancer factor 2A (Serum response factor-like protein 1),MEF2A MEF2,Homo sapiens (Human),507
Q10344,Q10344,reviewed,TCTP_SCHPO,Translationally-controlled tumor protein homolog (TCTP) (p23fyp),p23fy SPAC1F12.02c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),168
P0A8V6,P0A8V6,reviewed,FADR_ECOLI,Fatty acid metabolism regulator protein,fadR oleR thdB b1187 JW1176,Escherichia coli (strain K12),239
P76329,P76329,reviewed,MPGP_ECOLI,Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70),yedP b1955 JW1938,Escherichia coli (strain K12),271
Q02761,Q02761,reviewed,CYB_CERSP,Cytochrome b,petB fbcB,Cereibacter sphaeroides (Rhodobacter sphaeroides),445
MSCS_ECOLI,P0C0S1,reviewed,MSCS_ECOLI,Small-conductance mechanosensitive channel,mscS yggB b2924 JW2891,Escherichia coli (strain K12),286
O42807,O42807,reviewed,FAEA_ASPNG,Feruloyl esterase A (EC 3.1.1.73) (Cinnamoyl esterase) (FAE-III) (Ferulic acid esterase A),faeA,Aspergillus niger,281
Q62141,Q62141,reviewed,SIN3B_MOUSE,Paired amphipathic helix protein Sin3b (Histone deacetylase complex subunit Sin3b) (Transcriptional corepressor Sin3b),Sin3b Kiaa0700,Mus musculus (Mouse),1098
BBP_PIEBR,P09464,reviewed,BBP_PIEBR,Bilin-binding protein (BBP),,Pieris brassicae (White butterfly) (Large white butterfly),189
O67792,O67792,reviewed,COAE_AQUAE,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),coaE aq_1985,Aquifex aeolicus (strain VF5),196
P13448,P13448,reviewed,NHAA_RHOER,Nitrile hydratase subunit alpha (NHase) (Nitrilase) (EC 4.2.1.84),nthA,Rhodococcus erythropolis (Arthrobacter picolinophilus),207
P13599,P13599,reviewed,FCGRN_RAT,IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor),Fcgrt Fcrn,Rattus norvegicus (Rat),366
Q62696,Q62696,reviewed,DLG1_RAT,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97),Dlg1 Dlgh1,Rattus norvegicus (Rat),911
