From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names
P13988,P13988,reviewed,TNSA_ECOLX,Transposon Tn7 transposition protein TnsA (Restriction enzyme-like endonuclease TnsA) (EC 3.1.21.-),tnsA,Escherichia coli,273,tnsA
P43529,P43529,reviewed,E2BB_ECOLX,"Heat-labile enterotoxin IIB, B chain (LT-IIB)",,Escherichia coli,122,
P02945,P02945,reviewed,BACR_HALSA,Bacteriorhodopsin (BR) (Bacterioopsin) (BO),bop VNG_1467G,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),262,bop
P0A9G6,P0A9G6,reviewed,ACEA_ECOLI,Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase),aceA icl b4015 JW3975,Escherichia coli (strain K12),434,aceA
O66742,O66742,reviewed,DTD_AQUAE,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase),dtd aq_428,Aquifex aeolicus (strain VF5),148,dtd
Q02970,Q02970,reviewed,FABP1_ECHGR,Fatty acid-binding protein homolog 1 (EgDf1) (EgFABP1),FABP1 DF1,Echinococcus granulosus (Hydatid tapeworm),133,FABP1
P20070,P20070,reviewed,NB5R3_RAT,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1),Cyb5r3 Dia1,Rattus norvegicus (Rat),301,Cyb5r3
P01087,P01087,reviewed,IAAT_ELECO,Alpha-amylase/trypsin inhibitor (RBI) (RATI),,Eleusine coracana (Indian finger millet) (Ragi),122,
O55239,O55239,reviewed,NNMT_MOUSE,Nicotinamide N-methyltransferase (EC 2.1.1.1),Nnmt,Mus musculus (Mouse),264,Nnmt
Q7P0E6,Q7P0E6,reviewed,HIS2_CHRVO,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),hisE CV_0621,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),108,hisE
Q57594,Q57594,reviewed,T1S1_METJA,Type I restriction enzyme MjaVII specificity subunit (S protein) (Type I specificity subunit S.MjaVII) (S.MjaVII) (Type-1 restriction enzyme MjaXIP specificity subunit) (S.MjaXIP),MJ0130,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),425,MJ0130
Q5KY26,Q5KY26,reviewed,GLSA_GEOKA,Glutaminase (EC 3.5.1.2),glsA GK2125,Geobacillus kaustophilus (strain HTA426),308,glsA
O76463,O76463,reviewed,NFT1_CAEEL,"Nitrilase and fragile histidine triad fusion protein NitFhit [Includes: Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase); Nitrilase homolog (EC 3.5.-.-)]",nft-1 Y56A3A.13,Caenorhabditis elegans,440,nft-1
P0C6G6,P0C6G6,reviewed,MYP2_HORSE,Myelin P2 protein,PMP2,Equus caballus (Horse),132,PMP2
ST1C4_HUMAN,O75897,reviewed,ST1C4_HUMAN,Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1) (Sulfotransferase 1C2) (SULT1C#2),SULT1C4 SULT1C2,Homo sapiens (Human),302,SULT1C4
P43585,P43585,reviewed,VTC2_YEAST,Vacuolar transporter chaperone complex subunit 2 (Phosphate metabolism protein 1) (SPX-dependent polyphosphate polymerase VTC subunit 2) (Vacuolar membrane polyphosphate polymerase accessory subunit 2) (PolyP polymerase),VTC2 PHM1 YFL004W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),828,VTC2
Q9RP17,Q9RP17,unreviewed,Q9RP17_NEIME,Surface protein A,nspA,Neisseria meningitidis,174,nspA
P00080,P00080,reviewed,CYC2_RHOGL,Cytochrome c2,,Rhodopila globiformis (Rhodopseudomonas globiformis),106,
P00968,P00968,reviewed,CARB_ECOLI,Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain),carB pyrA b0033 JW0031,Escherichia coli (strain K12),1073,carB
P46327,P46327,reviewed,YXBC_BACSU,Uncharacterized protein YxbC,yxbC yxaQ BSU39880 VE7D,Bacillus subtilis (strain 168),330,yxbC
EPHB2_HUMAN,P29323,reviewed,EPHB2_HUMAN,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Homo sapiens (Human),1055,EPHB2
P46130,P46130,reviewed,YBHC_ECOLI,Putative acyl-CoA thioester hydrolase YbhC (EC 3.1.2.-),ybhC b0772 JW0755,Escherichia coli (strain K12),427,ybhC
P18902,P18902,reviewed,RET4_BOVIN,Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP),RBP4,Bos taurus (Bovine),183,RBP4
P02958,P02958,reviewed,SSPC_BACSU,"Small, acid-soluble spore protein C (SASP)",sspC BSU19950,Bacillus subtilis (strain 168),72,sspC
P19972,P19972,reviewed,TOXK_MILFA,Salt-mediated killer protoxin 1 [Cleaved into: Salt-mediated killer toxin 1 alpha chain (SMK toxin alpha chain); Salt-mediated killer toxin 1 gamma chain (SMK toxin gamma chain); Salt-mediated killer toxin 1 beta chain (SMK toxin beta chain)],SMK1,Millerozyma farinosa (Yeast) (Pichia farinosa),222,SMK1
P0C0Y7,P0C0Y7,reviewed,RCEH_CERSP,Reaction center protein H chain (Photosynthetic reaction center H subunit),puhA,Cereibacter sphaeroides (Rhodobacter sphaeroides),260,puhA
O34678,O34678,reviewed,YTBE_BACSU,Uncharacterized oxidoreductase YtbE (EC 1.-.-.-),ytbE BSU29050,Bacillus subtilis (strain 168),280,ytbE
TLR1_HUMAN,Q15399,reviewed,TLR1_HUMAN,Toll-like receptor 1 (Toll/interleukin-1 receptor-like protein) (TIL) (CD antigen CD281),TLR1 KIAA0012,Homo sapiens (Human),786,TLR1
Q9H7E2,Q9H7E2,reviewed,TDRD3_HUMAN,Tudor domain-containing protein 3,TDRD3,Homo sapiens (Human),651,TDRD3
P05327,P05327,reviewed,PHR_SYNP6,Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme),phr phrA syc1392_c,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),484,phr
P00693,P00693,reviewed,AMY1_HORVU,"Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)",AMY1.1,Hordeum vulgare (Barley),438,AMY1.1
P25911,P25911,reviewed,LYN_MOUSE,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),Lyn,Mus musculus (Mouse),512,Lyn
P55929,P55929,reviewed,CCPR_NITEU,Cytochrome c551 peroxidase (Cytochrome c peroxidase) (EC 1.11.1.5),ccp NE1315,Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298),334,ccp
Q986N2,Q986N2,reviewed,RISB2_RHILO,"6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78) (Type II lumazine synthase)",ribH2 mll7281,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) (Mesorhizobium loti (strain MAFF 303099)),157,ribH2
O31511,O31511,reviewed,YESE_BACSU,Uncharacterized protein YesE,yesE yeeL BSU06870,Bacillus subtilis (strain 168),147,yesE
P23921,P23921,reviewed,RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),RRM1 RR1,Homo sapiens (Human),792,RRM1
P46489,P46489,reviewed,MDHP_FLABI,"Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)",,Flaveria bidentis (Coastal plain yellowtops) (Ethulia bidentis),453,
P08716,P08716,reviewed,HLYBP_ECOLX,Alpha-hemolysin translocation ATP-binding protein HlyB,hlyB,Escherichia coli,707,hlyB
P53992,P53992,reviewed,SC24C_HUMAN,Protein transport protein Sec24C (SEC24-related protein C),SEC24C KIAA0079,Homo sapiens (Human),1094,SEC24C
HCK_HUMAN,P08631,reviewed,HCK_HUMAN,Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck),HCK,Homo sapiens (Human),526,HCK
P54729,P54729,reviewed,NUB1_MOUSE,NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Protein BS4),Nub1 Nyren18,Mus musculus (Mouse),614,Nub1
FABPI_HUMAN,P12104,reviewed,FABPI_HUMAN,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",FABP2 FABPI,Homo sapiens (Human),132,FABP2
P42404,P42404,reviewed,PHI_BACSU,3-hexulose-6-phosphate isomerase (EC 5.3.1.27) (6-phospho-3-hexuloisomerase) (PHI),hxlB yckF BSU03450,Bacillus subtilis (strain 168),185,hxlB
P19097,P19097,reviewed,FAS2_YEAST,Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)],FAS2 YPL231W P1409,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1887,FAS2
Q53ZE5,Q53ZE5,reviewed,PYRDA_LACLC,Dihydroorotate dehydrogenase A (fumarate) (DHOD A) (DHODase A) (DHOdehase A) (EC 1.3.98.1),pyrDA,Lactococcus lactis subsp. cremoris (Streptococcus cremoris),311,pyrDA
MCR_HUMAN,P08235,reviewed,MCR_HUMAN,Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2),NR3C2 MCR MLR,Homo sapiens (Human),984,NR3C2
Q14690,Q14690,reviewed,RRP5_HUMAN,Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11),PDCD11 KIAA0185,Homo sapiens (Human),1871,PDCD11
P44209,P44209,reviewed,Y1480_HAEIN,Uncharacterized protein HI_1480,HI_1480,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),156,HI_1480
P13280,P13280,reviewed,GLYG_RABIT,Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186),GYG1 GYG,Oryctolagus cuniculus (Rabbit),333,GYG1
P0C0H6,P0C0H6,reviewed,IMDH_STRPY,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),guaB impD,Streptococcus pyogenes,493,guaB
P04254,P04254,reviewed,HCYA_PANIN,Hemocyanin A chain,,Panulirus interruptus (California spiny lobster) (Palinurus interruptus),657,
Q06433,Q06433,reviewed,GAL80_KLULA,Galactose/lactose metabolism regulatory protein GAL80,GAL80 KLLA0A08162g,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica),457,GAL80
P17978,P17978,reviewed,VGB_STAAU,Virginiamycin B lyase (EC 4.2.99.-) (Streptogramin B lyase),vgb vgh,Staphylococcus aureus,299,vgb
P07173,P07173,reviewed,CYCR_BLAVI,Photosynthetic reaction center cytochrome c subunit (Cytochrome c558/c559),pufC cytC BVIRIDIS_00500,Blastochloris viridis (Rhodopseudomonas viridis),356,pufC
P00490,P00490,reviewed,PHSM_ECOLI,Maltodextrin phosphorylase (EC 2.4.1.1),malP b3417 JW5689,Escherichia coli (strain K12),797,malP
Q9P4R8,Q9P4R8,reviewed,CGL2_COPCI,Galectin-2 (Cgl-II) (Galectin II),Cgl2,Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata),150,Cgl2
Q5SLS5,Q5SLS5,unreviewed,Q5SLS5_THET8,Enoyl-CoA hydratase,TTHA0218,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),264,TTHA0218
P83791,P83791,reviewed,CYB6_MASLA,Cytochrome b6,petB,Mastigocladus laminosus (Fischerella sp.),215,petB
Q6SLM1,Q6SLM1,reviewed,PA2B5_BUNCE,Basic phospholipase A2 2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Bungarus caeruleus (Indian krait),137,
P25052,P25052,reviewed,TENA_BACSU,Aminopyrimidine aminohydrolase (EC 3.5.99.2) (4-amino-5-aminomethyl-2-methylpyrimidine hydrolase) (Thiaminase II),tenA BSU11650,Bacillus subtilis (strain 168),236,tenA
Q0TUN8,Q0TUN8,reviewed,ECFA3_CLOP1,Energy-coupling factor transporter ATP-binding protein EcfA3 (ECF transporter A component EcfA3) (EC 3.6.3.-),ecfA3 cbiO1 CPF_0188,Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A),285,ecfA3
O32054,O32054,reviewed,QUEA_BACSU,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA),queA BSU27720,Bacillus subtilis (strain 168),342,queA
P96579,P96579,reviewed,YDAF_BACSU,Putative ribosomal N-acetyltransferase YdaF (EC 2.3.1.-),ydaF BSU04210,Bacillus subtilis (strain 168),183,ydaF
P0A0A5,P0A0A5,reviewed,FEMA_STAAU,Aminoacyltransferase FemA (EC 2.3.2.17) (Factor essential for expression of methicillin resistance A) (N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-glycyl)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase),femA,Staphylococcus aureus,420,femA
DLD_ECOLI,P06149,reviewed,DLD_ECOLI,Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase),dld b2133 JW2121,Escherichia coli (strain K12),571,dld
P56200,P56200,reviewed,T2CX_CITFR,Type II restriction enzyme Cfr10I (R.Cfr10I) (EC 3.1.21.4) (Endonuclease Cfr10I) (Type-2 restriction enzyme Cfr10I),cfr10IR,Citrobacter freundii,285,cfr10IR
O34533,O34533,reviewed,YTCD_BACSU,Uncharacterized HTH-type transcriptional regulator YtcD,ytcD BSU29030,Bacillus subtilis (strain 168),126,ytcD
O29998,O29998,reviewed,Y241_ARCFU,S-adenosyl-L-methionine-binding protein AF_0241,AF_0241,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),139,AF_0241
O58214,O58214,reviewed,TRM56_PYRHO,tRNA (cytidine(56)-2'-O)-methyltransferase (EC 2.1.1.206) (tRNA ribose 2'-O-methyltransferase aTrm56),PH0461,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),203,PH0461
Q38895,Q38895,reviewed,SUP_ARATH,Transcriptional regulator SUPERMAN,SUP FLO10 At3g23130 K14B15.1,Arabidopsis thaliana (Mouse-ear cress),204,SUP
HXK2_HUMAN,P52789,reviewed,HXK2_HUMAN,Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase),HK2,Homo sapiens (Human),917,HK2
Q57646,Q57646,reviewed,CG121_METJA,Regulatory protein Cgi121 (Positive regulator of Bud32 kinase activity),cgi121 MJ0187,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),145,cgi121
P39890,P39890,reviewed,TCMI_STRGA,Tetracenomycin F2 cyclase (EC 4.2.1.154) (Tetracenomycin polyketide synthesis protein TcmI),tcmI,Streptomyces glaucescens,109,tcmI
P77072,P77072,reviewed,MERB_ECOLX,Alkylmercury lyase (EC 4.99.1.2) (Organomercurial lyase),merB,Escherichia coli,212,merB
P06533,P06533,reviewed,SINR_BACSU,HTH-type transcriptional regulator SinR,sinR flaD sin BSU24610,Bacillus subtilis (strain 168),111,sinR
P16790,P16790,reviewed,VPAP_HCMVA,DNA polymerase processivity factor (Polymerase accessory protein) (PAP) (Protein ICP36),UL44,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),433,UL44
P11411,P11411,reviewed,G6PD_LEUME,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.363) (Glucose-6-phosphate dehydrogenase (NAD(P)(+))),zwf,Leuconostoc mesenteroides,486,zwf
Q6L545,Q6L545,reviewed,GID1_ORYSJ,Gibberellin receptor GID1 (EC 3.-.-.-) (Gibberellin-insensitive dwarf protein 1) (Protein GIBBERELLIN INSENSITIVE DWARF1),GID1 Os05g0407500 LOC_Os05g33730 OJ1657_H11.10 P0040B10.6,Oryza sativa subsp. japonica (Rice),354,GID1
P68398,P68398,reviewed,TADA_ECOLI,tRNA-specific adenosine deaminase (EC 3.5.4.33),tadA yfhC b2559 JW2543,Escherichia coli (strain K12),167,tadA
Q9NTG7,Q9NTG7,reviewed,SIR3_HUMAN,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (NAD-dependent protein delactylase sirtuin-3) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)",SIRT3 SIR2L3,Homo sapiens (Human),399,SIRT3
HMGB3_HUMAN,O15347,reviewed,HMGB3_HUMAN,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),HMGB3 HMG2A HMG4,Homo sapiens (Human),200,HMGB3
Q9NSY2,Q9NSY2,reviewed,STAR5_HUMAN,StAR-related lipid transfer protein 5 (START domain-containing protein 5) (StARD5),STARD5,Homo sapiens (Human),213,STARD5
P0AB80,P0AB80,reviewed,ILVE_ECOLI,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B),ilvE b3770 JW5606,Escherichia coli (strain K12),309,ilvE
O35685,O35685,reviewed,NUDC_MOUSE,Nuclear migration protein nudC (Nuclear distribution protein C homolog) (Silica-induced gene 92 protein) (SIG-92),Nudc,Mus musculus (Mouse),332,Nudc
P37804,P37804,reviewed,TAGL_MOUSE,Transgelin (Actin-associated protein p27) (Smooth muscle protein 22-alpha) (SM22-alpha),Tagln Sm22 Sm22a,Mus musculus (Mouse),201,Tagln
P46669,P46669,reviewed,RPA43_YEAST,DNA-directed RNA polymerase I subunit RPA43 (A43) (DNA-directed DNA-dependent RNA polymerase 36 kDa polypeptide),RPA43 RRN12 YOR340C O6271,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),326,RPA43
Q8N6N7,Q8N6N7,reviewed,ACBD7_HUMAN,Acyl-CoA-binding domain-containing protein 7,ACBD7,Homo sapiens (Human),88,ACBD7
P16009,P16009,reviewed,NEEDL_BPT4,Pre-baseplate central spike protein Gp5 (Pre-Gp5) (Peptidoglycan hydrolase gp5) (EC 3.2.1.17) [Cleaved into: Baseplate central spike protein Gp5* (Mature Gp5); Gp5C],5,Enterobacteria phage T4 (Bacteriophage T4),575,5
Q9U6Y4,Q9U6Y4,reviewed,GFPL2_ZOASP,GFP-like fluorescent chromoprotein FP538 (zFP538) [Cleaved into: GFP-like fluorescent chromoprotein FP538 chain 1; GFP-like fluorescent chromoprotein FP538 chain 2],,Zoanthus sp. (Green polyp),231,
P47039,P47039,reviewed,BNA3_YEAST,Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase),BNA3 YJL060W J1138,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),444,BNA3
P22892,P22892,reviewed,AP1G1_MOUSE,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),Ap1g1 Adtg Clapg1,Mus musculus (Mouse),822,Ap1g1
CP7A1_HUMAN,P22680,reviewed,CP7A1_HUMAN,Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (CYPVII) (Cholesterol 7-alpha-hydroxylase) (Cholesterol 7-alpha-monooxygenase) (EC 1.14.14.23),CYP7A1 CYP7,Homo sapiens (Human),504,CYP7A1
P02699,P02699,reviewed,OPSD_BOVIN,Rhodopsin,RHO,Bos taurus (Bovine),348,RHO
P61713,P61713,reviewed,RISB2_BRUSU,"6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78)",ribH2 ribH-2 BRA0695 BS1330_II0688,Brucella suis biovar 1 (strain 1330),158,ribH2
P71018,P71018,reviewed,PLSX_BACSU,Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),plsX ylpD BSU15890,Bacillus subtilis (strain 168),333,plsX
Q7VL96,Q7VL96,reviewed,MUKB_HAEDU,Chromosome partition protein MukB (Structural maintenance of chromosome-related protein),mukB HD_1582,Haemophilus ducreyi (strain 35000HP / ATCC 700724),1503,mukB
P14576,P14576,reviewed,SRP54_MOUSE,Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein),Srp54,Mus musculus (Mouse),504,Srp54
P13599,P13599,reviewed,FCGRN_RAT,IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor),Fcgrt Fcrn,Rattus norvegicus (Rat),366,Fcgrt
Q9H0P0,Q9H0P0,reviewed,5NT3A_HUMAN,Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36),NT5C3A NT5C3 P5N1 UMPH1 HSPC233,Homo sapiens (Human),336,NT5C3A
P0A876,P0A876,reviewed,TRMD_SHIFL,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase),trmD SF2667 S2844,Shigella flexneri,255,trmD
O35014,O35014,reviewed,YKUI_BACSU,Uncharacterized EAL-domain containing protein YkuI,ykuI BSU14090,Bacillus subtilis (strain 168),407,ykuI
P16088,P16088,reviewed,POL_FIVPE,Pol polyprotein [Cleaved into: Protease (Retropepsin) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2); Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],pol,Feline immunodeficiency virus (isolate Petaluma) (FIV),1124,pol
KCC2A_HUMAN,Q9UQM7,reviewed,KCC2A_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),CAMK2A CAMKA KIAA0968,Homo sapiens (Human),478,CAMK2A
Q62696,Q62696,reviewed,DLG1_RAT,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97),Dlg1 Dlgh1,Rattus norvegicus (Rat),911,Dlg1
BCL9_HUMAN,O00512,reviewed,BCL9_HUMAN,B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog),BCL9,Homo sapiens (Human),1426,BCL9
P60785,P60785,reviewed,LEPA_ECOLI,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),lepA b2569 JW2553,Escherichia coli (strain K12),599,lepA
Q7SZI7,Q7SZI7,reviewed,RET3_XENLA,Retinol-binding protein 3 (Interphotoreceptor retinoid-binding protein) (IRBP) (xIRBP) (Interstitial retinol-binding protein),rbp3,Xenopus laevis (African clawed frog),1219,rbp3
P00504,P00504,reviewed,AATC_CHICK,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",GOT1,Gallus gallus (Chicken),412,GOT1
