Target Name,ChEMBL-ID,UniProt ID,PDB Visualization,TTD ID,Probability,Model accuracy
Dual specificity phosphatase Cdc25C,CHEMBL2378,P30307,3OP3,Not Available,62%,97%
Activin receptor type-1B,CHEMBL5310,P36896,Not Available,Not Available,62%,70%
Choline kinase alpha,CHEMBL3117,P35790,4DA5,T55709,62%,78%
Ribosomal protein S6 kinase alpha 6,CHEMBL4924,Q9UK32,6G77,Not Available,62%,80%
N-acylsphingosine-amidohydrolase,CHEMBL4349,Q02083,6DXW,Not Available,61.70%,93%
"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,3UO9,T86734,62%,100%
Activin receptor type-1,CHEMBL5903,Q04771,6I1S,Not Available,62%,90%
Endoplasmic reticulum aminopeptidase 1,CHEMBL5939,Q9NZ08,6Q4R,Not Available,62%,100%
Phosphodiesterase 3A,CHEMBL241,Q14432,7LRC,T88975,61%,93%
Plasminogen activator inhibitor-1,CHEMBL3475,P05121,3CVM,T15556,60%,83%
Tissue factor pathway inhibitor,CHEMBL3713062,P10646,5NMV,T78890,60%,97%
Protein Mdm4,CHEMBL1255126,O15151,6Q9Y,T36741,59%,90.20%
Uracil nucleotide/cysteinyl leukotriene receptor,CHEMBL1075162,Q13304,Not Available,Not Available,59%,80%
Histone deacetylase 2,CHEMBL1937,Q92769,7KBG,T51191,58%,95%
Pyroglutamylated RFamide peptide receptor,CHEMBL5852,Q96P65,Not Available,Not Available,58%,85%
Dipeptidyl peptidase IX,CHEMBL4793,Q86TI2,6EOR,Not Available,58%,97%
Glutamate NMDA receptor; GRIN1/GRIN2B,CHEMBL1907603,Q05586,5EWM,Not Available,58%,96%
Tyrosine-protein kinase receptor UFO,CHEMBL4895,P30530,5U6B,T82383,57%,91%
E3 SUMO-protein ligase CBX4,CHEMBL3232685,O00257,5EPL,Not Available,57%,93%
Mineralocorticoid receptor,CHEMBL1994,P08235,4PF3,Not Available,57%,100%
Excitatory amino acid transporter 3,CHEMBL2721,P43005,6X2L,Not Available,56%,93.50%
G protein-coupled receptor kinase 5,CHEMBL5678,P34947,4TND,Not Available,56%,88%
Excitatory amino acid transporter 2,CHEMBL4973,P43004,Not Available,Not Available,56%,99%
Voltage-gated N-type calcium channel alpha-1B subunit,CHEMBL4478,Q00975,Not Available,T38338,56%,97%
Muscarinic acetylcholine receptor M5,CHEMBL2035,P08912,6OL9,T79961,56%,95%
Melanocortin receptor 5,CHEMBL4608,P33032,Not Available,T95302,56%,97%
C5a anaphylatoxin chemotactic receptor,CHEMBL2373,P21730,6C1R,T15439,55%,93%
Dopamine D2 receptor,CHEMBL217,P14416,7JVR,Not Available,55%,96%
Cytochrome P450 3A4,CHEMBL340,P08684,5VCC,T37848,55%,91%
Acetyl-CoA carboxylase 1,CHEMBL3351,Q13085,6G2H,Not Available,55%,93%
Inosine-5'-monophosphate dehydrogenase 2,CHEMBL2002,P12268,6I0M,T86573,55%,98%
Cyclin-dependent kinase 1/cyclin B,CHEMBL2094127,P06493,6GU2,T49898,54%,96%
CaM-kinase kinase beta,CHEMBL5284,Q96RR4,6CMJ,Not Available,54%,89%
Acyl-CoA desaturase,CHEMBL5555,O00767,4ZYO,T10897,53%,97.50%
Tyrosine-protein kinase receptor TYRO3,CHEMBL5314,Q06418,1RHF,Not Available,53.40%,96%
Neuronal acetylcholine receptor; alpha4/beta4,CHEMBL1907591,P30926,6UR8,T70967,53%,100%
Sodium channel protein type III alpha subunit,CHEMBL5163,Q9NY46,Not Available,T76937,53%,96.90%
Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Q16236,2FLU,Not Available,53%,96%
Dopamine D1 receptor,CHEMBL2056,P21728,7JVP,Not Available,53%,91%
Prostanoid EP1 receptor,CHEMBL1811,P34995,Not Available,T15497,53%,96%
Relaxin receptor 1,CHEMBL1293316,Q9HBX9,Not Available,T73696,53%,82.50%
Thromboxane A2 receptor,CHEMBL2069,P21731,Not Available,T76198,53%,93%
CDK2/Cyclin A,CHEMBL3038469,P24941,4BCN,T70176,52%,91%
Tyrosine-protein kinase ZAP-70,CHEMBL2803,P43403,2OZO,Not Available,52%,82.50%
Muscarinic acetylcholine receptor M3,CHEMBL245,P20309,Not Available,T67684,52%,98%
Dipeptidyl peptidase II,CHEMBL3976,Q9UHL4,4EBB,Not Available,52%,92%
"Nitric oxide synthase, inducible",CHEMBL4481,P35228,3E7G,T02703,52%,94.80%
Histone deacetylase 8,CHEMBL3192,Q9BY41,5VI6,T28887,52%,94%
Lysine-specific demethylase 4A,CHEMBL5896,O75164,6G5X,Not Available,52%,99%
Voltage-gated potassium channel subunit Kv1.5,CHEMBL4306,P22460,Not Available,T17569,51%,94%
Tissue-type plasminogen activator,CHEMBL1873,P00750,1RTF,T45299,51%,93%
Serine/threonine-protein kinase Chk1,CHEMBL4630,O14757,3TKI,Not Available,51%,97%
Serine/threonine-protein kinase mTOR,CHEMBL2842,P42345,6BCX,T75243,51%,93%
Aldo-keto reductase family 1 member C2,CHEMBL5847,P52895,4XO6,Not Available,51%,92.50%
GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL2095172,P14867,6X3T,T51487,51%,93%
Muscarinic acetylcholine receptor M1,CHEMBL216,P11229,6OIJ,T28893,51%,94%
Neprilysin,CHEMBL1944,P08473,6SUK,T05409,50%,93%
Glycogen synthase kinase-3 beta,CHEMBL262,P49841,1J1B,Not Available,50%,96%
Excitatory amino acid transporter 1,CHEMBL3085,P43003,5LM4,Not Available,50%,95%
Matrix metalloproteinase 12,CHEMBL4393,P39900,3BA0,Not Available,50%,92%
Quinone reductase 2,CHEMBL3959,P16083,4FGL,T75498,50%,89%
