Target Name,ChEMBL-ID,UniProt ID,PDB Visualization,TTD ID,Probability,Model accuracy
G-protein coupled bile acid receptor 1,CHEMBL5409,Q8TDU6,7CFM,T86273,81%,94%
Glycine transporter 2,CHEMBL3060,Q9Y345,Not Available,Not Available,81%,99%
Glycine receptor subunit alpha-1,CHEMBL5845,P23415,4X5T,T50269,80%,91%
Coagulation factor XIII,CHEMBL4530,P00488,4KTY,Not Available,79%,96%
Glyoxalase I,CHEMBL2424,Q04760,3W0T,Not Available,79%,92%
Dual specificity protein kinase CLK4,CHEMBL4203,Q9HAZ1,6FYV,Not Available,79%,94%
Calpain 1,CHEMBL3891,P07384,1ZCM,Not Available,79%,93%
"Glutamate receptor ionotropic, AMPA 2",CHEMBL4016,P42262,2WJW,T42392,78%,87%
L-lactate dehydrogenase B chain,CHEMBL4940,P07195,1I0Z,Not Available,75.60%,96%
NT-3 growth factor receptor,CHEMBL5608,Q16288,6KZD,Not Available,75.50%,96%
"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,3UO9,T86734,75%,100%
Beta-1 adrenergic receptor,CHEMBL213,P08588,7BVQ,T44068,75%,96%
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,CHEMBL2288,Q13526,1PIN,T16308,75%,92%
Galectin-3,CHEMBL4531,P17931,6FOF,T72038,74.20%,96.90%
Adaptor-associated kinase,CHEMBL3830,Q2M2I8,5TE0,T98271,73%,83.10%
Activin receptor type-1B,CHEMBL5310,P36896,Not Available,Not Available,73%,70%
Aldose reductase,CHEMBL1900,P15121,1US0,T26623,72%,92%
Phosphodiesterase 11A,CHEMBL2717,Q9HCR9,Not Available,Not Available,72%,85%
Voltage-gated potassium channel subunit Kv1.5,CHEMBL4306,P22460,Not Available,T17569,72%,94%
Protein Mdm4,CHEMBL1255126,O15151,6Q9Y,T36741,72%,90.20%
Macrophage migration inhibitory factor,CHEMBL2085,P14174,6B1K,T39977,71%,81%
Heat shock protein HSP 90-alpha,CHEMBL3880,P07900,3Q6M,Not Available,71%,96%
Lysosomal Pro-X carboxypeptidase,CHEMBL2335,P42785,3N2Z,Not Available,69%,100%
Beta-glucuronidase,CHEMBL2728,P08236,3HN3,T96413,69%,78%
P2X purinoceptor 4,CHEMBL2104,Q99571,Not Available,T60330,68.20%,97.50%
Proteasome component C5,CHEMBL4208,P20618,6KWY,Not Available,68%,90%
Plasminogen activator inhibitor-1,CHEMBL3475,P05121,3CVM,T15556,68%,83%
Beta-glucosidase,CHEMBL3761,Q9HCG7,Not Available,Not Available,68%,99%
Muscarinic acetylcholine receptor M5,CHEMBL2035,P08912,6OL9,T79961,68%,95%
Protein-tyrosine phosphatase 2C,CHEMBL3864,Q06124,5EHR,T13057,68%,94%
Cyclin-dependent kinase 5,CHEMBL4036,Q00535,4AU8,T20973,67%,79%
Voltage-gated N-type calcium channel alpha-1B subunit,CHEMBL4478,Q00975,Not Available,T38338,66%,97%
Signal transducer and activator of transcription 1-alpha/beta,CHEMBL6101,P42224,1YVL,T64205,66%,73%
Tissue factor pathway inhibitor,CHEMBL3713062,P10646,5NMV,T78890,66%,97%
Dual specificity phosphatase Cdc25B,CHEMBL4804,P30305,1QB0,Not Available,65%,79.50%
Vasopressin V1b receptor,CHEMBL1921,P47901,Not Available,Not Available,65%,92.50%
Serine/threonine protein kinase NLK,CHEMBL5364,Q9UBE8,Not Available,Not Available,64.80%,79%
Endoplasmic reticulum aminopeptidase 1,CHEMBL5939,Q9NZ08,6Q4R,Not Available,65%,100%
Muscarinic acetylcholine receptor M1,CHEMBL216,P11229,6OIJ,T28893,65%,94%
Aldo-keto reductase family 1 member C1,CHEMBL5905,Q04828,1MRQ,Not Available,65%,92%
N-acylsphingosine-amidohydrolase,CHEMBL4349,Q02083,6DXW,Not Available,64.40%,93%
Quinone reductase 2,CHEMBL3959,P16083,4FGL,T75498,64.10%,89%
Dopamine D2 receptor,CHEMBL217,P14416,7JVR,Not Available,64%,96%
C-X-C chemokine receptor type 4,CHEMBL2107,P61073,3ODU,T96079,64%,93.10%
Dual specificity phosphatase Cdc25C,CHEMBL2378,P30307,3OP3,Not Available,64%,97%
Activin receptor type-1,CHEMBL5903,Q04771,6I1S,Not Available,63%,90%
G protein-coupled receptor kinase 5,CHEMBL5678,P34947,4TND,Not Available,63%,88%
NADPH oxidase 1,CHEMBL1287628,Q9Y5S8,Not Available,Not Available,63%,95%
Dipeptidyl peptidase IX,CHEMBL4793,Q86TI2,6EOR,Not Available,63%,97%
Muscarinic acetylcholine receptor M3,CHEMBL245,P20309,Not Available,T67684,63%,98%
Glucose transporter,CHEMBL2535,P11166,6THA,Not Available,63%,99%
GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL2095172,P14867,6X3T,T51487,62.50%,93%
Nuclear factor NF-kappa-B p105 subunit,CHEMBL3251,P19838,1SVC,Not Available,62%,96%
Kallikrein 1,CHEMBL2319,P06870,1SPJ,T40000,61%,91%
PI3-kinase p110-alpha/p85-alpha,CHEMBL2111367,P27986,4JPS,T80276,61%,94%
Histone deacetylase 8,CHEMBL3192,Q9BY41,5VI6,T28887,61%,94%
Integrin alpha-5/beta-1,CHEMBL2095226,P05556,7NWL,T01851,61%,96%
Cyclin-dependent kinase 1/cyclin B,CHEMBL2094127,P06493,6GU2,T49898,61%,96%
Ribosomal protein S6 kinase alpha 6,CHEMBL4924,Q9UK32,6G77,Not Available,60%,80%
Dopamine D1 receptor,CHEMBL2056,P21728,7JVP,Not Available,60%,91%
Aminopeptidase N,CHEMBL1907,P15144,4FYT,T67272,60%,93%
Cystic fibrosis transmembrane conductance regulator,CHEMBL4051,P13569,6MSM,T55654,59%,96%
Tyrosine-protein kinase ZAP-70,CHEMBL2803,P43403,2OZO,Not Available,59%,82.50%
Glutamate NMDA receptor; GRIN1/GRIN2B,CHEMBL1907603,Q05586,5EWM,Not Available,59%,96%
Mineralocorticoid receptor,CHEMBL1994,P08235,4PF3,Not Available,58.70%,100%
Serine/threonine-protein kinase MST2,CHEMBL4708,Q13188,6AO5,Not Available,59%,72%
Relaxin receptor 1,CHEMBL1293316,Q9HBX9,Not Available,T73696,58.60%,82.50%
Protein kinase C zeta,CHEMBL3438,Q05513,Not Available,T59190,58%,88%
Ribosomal protein S6 kinase alpha 1,CHEMBL2553,Q15418,2Z7Q,Not Available,58%,85%
"Nitric oxide synthase, inducible",CHEMBL4481,P35228,3E7G,T02703,58%,94.80%
Thromboxane A2 receptor,CHEMBL2069,P21731,Not Available,T76198,58%,93%
Cytochrome P450 3A4,CHEMBL340,P08684,5VCC,T37848,58%,91%
C5a anaphylatoxin chemotactic receptor,CHEMBL2373,P21730,6C1R,T15439,57%,93%
Methionine aminopeptidase 2,CHEMBL3922,P50579,1B6A,T75596,57%,97%
Neuronal acetylcholine receptor; alpha4/beta4,CHEMBL1907591,P30926,6UR8,T70967,57%,100%
Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Q16236,2FLU,Not Available,57%,96%
Neuronal acetylcholine receptor; alpha3/beta4,CHEMBL1907594,P30926,6PV7,T73724,56%,97%
CaM-kinase kinase beta,CHEMBL5284,Q96RR4,6CMJ,Not Available,56%,89%
Histone deacetylase 2,CHEMBL1937,Q92769,7KBG,T51191,56%,95%
IgG receptor FcRn large subunit p51,CHEMBL5966,P55899,6FGB,Not Available,56%,91%
MAP kinase-activated protein kinase 2,CHEMBL2208,P49137,1NXK,T21307,56%,95.20%
E3 SUMO-protein ligase CBX4,CHEMBL3232685,O00257,5EPL,Not Available,55%,93%
Excitatory amino acid transporter 2,CHEMBL4973,P43004,Not Available,Not Available,54%,99%
Excitatory amino acid transporter 1,CHEMBL3085,P43003,5LM4,Not Available,54%,95%
Excitatory amino acid transporter 3,CHEMBL2721,P43005,6X2L,Not Available,54%,93.50%
Acetylcholine receptor; alpha1/beta1/delta/gamma,CHEMBL1907588,P02708,5HBT,T04689,54%,98%
Nuclear receptor subfamily 4 group A member 1,CHEMBL1293229,P22736,4RZF,Not Available,53%,78%
Matrix metalloproteinase 12,CHEMBL4393,P39900,3BA0,Not Available,53%,92%
Prostanoid EP1 receptor,CHEMBL1811,P34995,Not Available,T15497,53%,96%
LSD1/CoREST complex,CHEMBL3137262,O60341,5L3D,Not Available,52%,97%
Pyroglutamylated RFamide peptide receptor,CHEMBL5852,Q96P65,Not Available,Not Available,52%,85%
Tyrosine-protein kinase Lyn,CHEMBL3905,P07948,5XY1,Not Available,52%,76%
Acetyl-CoA carboxylase 1,CHEMBL3351,Q13085,6G2H,Not Available,52%,93%
Formyl peptide receptor 1,CHEMBL3359,P21462,Not Available,T87831,51%,94%
Lysine-specific demethylase 4A,CHEMBL5896,O75164,6G5X,Not Available,51%,99%
Glycogen synthase kinase-3 beta,CHEMBL262,P49841,1J1B,Not Available,51%,96%
Eukaryotic translation initiation factor 2-alpha kinase 1,CHEMBL6029,Q9BQI3,Not Available,Not Available,51%,89%
Tyrosine-protein kinase receptor TYRO3,CHEMBL5314,Q06418,1RHF,Not Available,50.20%,96%
Tyrosine-protein kinase receptor UFO,CHEMBL4895,P30530,5U6B,T82383,50%,91%
