Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease
2ad1_A_cavity_2,6,2.811,0.4685,3,2,1,0,0,0,Sulfotransferase 1C4,TRANSFERASE,ST1C4_HUMAN,"Catalyzes the sulfate conjugation of many drugs, xenobiotic compounds, hormones, and neurotransmitters. May be involved in the activation of carcinogenic hyroxylamines. Shows activity towards p-nitrophenol and N-hydroxy-2-acetylamino- fluorene (N-OH-2AAF)",NONE
3g3o_A_cavity_3,6,2.81,0.4684,4,1,1,0,0,0,Vacuolar transporter chaperone 2,NONE,P43585,NONE,NONE
1p4t_A_cavity_2,6,2.81,0.4683,5,1,0,0,0,0,Surface protein A,NONE,Q9RP17,Involved in porin activity,NONE
1hro_A_cavity_1,6,2.809,0.4681,5,0,1,0,0,0,Cytochrome c2,NONE,P00080,Involved in iron ion binding,NONE
1ce8_F_cavity_1,6,2.796,0.466,4,0,2,0,0,0,Carbamoyl-phosphate synthase large chain,NONE,P00968,NONE,NONE
1vrb_B_cavity_3,6,2.754,0.459,3,2,0,0,1,0,Uncharacterized protein yxbC,NONE,P46327,NONE,NONE
1b4f_F_cavity_1,6,2.752,0.4587,4,2,0,0,0,0,Ephrin type-B receptor 2,SIGNAL TRANSDUCTION,EPHB2_HUMAN,Receptor for members of the ephrin-B family. Acts as a tumor suppressor.,Defects in EPHB2 are involved in the progression of prostate cancer [MIM:176807].;Defects in EPHB2 are involved in the development of prostate cancer metastasis to the brain [MIM:603688].
3grh_A_cavity_1,6,2.751,0.4586,3,2,1,0,0,0,Putative acyl-CoA thioester hydrolase ybhC,NONE,P46130,NONE,NONE
1hbp_A_cavity_1,6,2.74,0.4566,5,1,0,0,0,0,Retinol-binding protein 4,NONE,P18902,Involved in retinoid binding,NONE
2z3x_A_cavity_1,6,2.739,0.4565,5,1,0,0,0,0,"Small, acid-soluble spore protein C",NONE,P02958,NONE,NONE
1kvd_B_cavity_1,6,2.739,0.4565,5,1,0,0,0,0,Salt-mediated killer protoxin 1,NONE,P19972,NONE,NONE
1yf6_L_cavity_3,6,2.739,0.4564,4,1,0,1,0,0,Reaction center protein H chain,NONE,P0C0Y7,NONE,NONE
3b3d_A_cavity_1,6,2.724,0.454,2,2,0,0,2,0,Uncharacterized oxidoreductase ytbE,NONE,O34678,NONE,NONE
2z7x_B_cavity_1,6,2.692,0.4487,4,2,0,0,0,0,Toll-like receptor 1,IMMUNE SYSTEM,TLR1_HUMAN,"Participates in the innate immune response to microbial agents. Cooperates with TLR2 to mediate the innate immune response to bacterial lipoproteins or lipopeptides. Acts via MYD88 and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the in",NONE
1wji_A_cavity_1,6,2.65,0.4417,4,1,1,0,0,0,Tudor domain-containing protein 3,NONE,Q9H7E2,NONE,NONE
1tez_B_cavity_2,6,2.646,0.441,4,1,1,0,0,0,Deoxyribodipyrimidine photo-lyase,NONE,P05327,Involved in DNA photolyase activity,NONE
1rp8_A_cavity_1,8,3.508,0.4384,4,1,1,2,0,0,Alpha-amylase type A isozyme,NONE,P00693,Carbohydrate transport and metabolism,NONE
2zv8_A_cavity_2,11,4.785,0.435,5,2,1,3,0,0,Tyrosine-protein kinase Lyn,NONE,P25911,NONE,NONE
1iqc_C_cavity_2,6,2.608,0.4347,4,1,1,0,0,0,Cytochrome c551 peroxidase,NONE,P55929,Involved in iron ion binding,NONE
2obx_H_cavity_1,9,3.891,0.4323,5,3,0,0,1,0,"6,7-dimethyl-8-ribityllumazine synthase 1",NONE,Q986N2,NONE,NONE
1s5a_A_cavity_1,7,2.991,0.4273,3,1,1,2,0,0,Hypothetical protein yesE,NONE,O31511,NONE,NONE
2wgh_A_cavity_3,6,2.559,0.4265,3,1,2,0,0,0,Ribonucleoside-diphosphate reductase large subunit,NONE,P23921,NONE,NONE
1civ_A_cavity_2,6,2.558,0.4264,3,2,1,0,0,0,"Malate dehydrogenase [NADP], chloroplast",NONE,P46489,Involved in oxidoreductase activity,NONE
2ffa_A_cavity_1,7,2.981,0.4259,4,0,2,1,0,0,Alpha-hemolysin translocation ATP-binding protein hlyB,NONE,P08716,NONE,NONE
3eh2_A_cavity_7,7,2.968,0.424,3,2,2,0,0,0,Protein transport protein Sec24C,NONE,P53992,NONE,NONE
2c0o_A_cavity_2,16,6.77,0.4231,6,2,3,5,0,0,Tyrosine-protein kinase HCK,TRANSFERASE,HCK_HUMAN,May serve as part of a signaling pathway coupling the Fc receptor to the activation of the respiratory burst. May also contribute to neutrophil migration and may regulate the degranulation process of neutrophils.,NONE
1veg_A_cavity_1,7,2.958,0.4226,5,1,1,0,0,0,NEDD8 ultimate buster 1,NONE,P54729,NONE,NONE
3ifb_A_cavity_1,7,2.954,0.4219,5,1,1,0,0,0,"Fatty acid-binding protein, intestinal",LIPID BINDING PROTEIN,FABPI_HUMAN,"FABP are thought to play a role in the intracellular transport of long-chain fatty acids and their acyl-CoA esters. FABP2 is probably involved in triglyceride-rich lipoprotein synthesis. Binds saturated long-chain fatty acids with a high affinity, but bin",NONE
1m3s_A_cavity_1,7,2.937,0.4195,4,1,1,0,1,0,3-hexulose-6-phosphate isomerase,NONE,P42404,NONE,NONE
2pff_H_cavity_1,7,2.935,0.4193,4,1,1,1,0,0,Fatty acid synthase subunit alpha,NONE,P19097,NONE,NONE
1jqx_A_cavity_1,7,2.934,0.4191,5,2,0,0,0,0,Dihydroorotate dehydrogenase A,NONE,Q53ZE5,Nucleotide transport and metabolism,NONE
2aa7_A_cavity_1,7,2.919,0.4169,5,2,0,0,0,0,Mineralocorticoid receptor,TRANSCRIPTION,MCR_HUMAN,Receptor for both mineralocorticoids (MC) such as aldosterone and glucocorticoids (GC) such as corticosterone or cortisol. Binds to mineralocorticoid response elements (MRE) and transactivates target genes. The effect of MC is to increase ion and water tr,"Defects in NR3C2 are a cause of autosomal dominant pseudohypoaldosteronism type I (PHA1) [MIM:177735]. PHA1 is characterized by urinary salt wasting, resulting from target organ unresponsiveness to mineralocorticoids. There are 2 forms of PHA1: the autosomal dominant form that is mild, and the recessive form which is more severe and due to defects in any of the epithelial sodium channel subunits. In autosomal dominant PHA1 the target organ defect is confined to kidney. Clinical expression can vary from asymptomatic to moderate. It may be severe at birth, but symptoms remit with age. Familial and sporadic cases have been reported.;Defects in NR3C2 are a cause of early onset hypertension with severe exacerbation in pregnancy [MIM:605115]. Inheritance is autosomal dominant. The disease is characterized by the onset of severe hypertension before the age of 20, and by suppression of aldosterone secretion."
1wi5_A_cavity_2,6,2.493,0.4156,4,1,1,0,0,0,Protein RRP5 homolog,NONE,Q14690,NONE,NONE
1mw5_B_cavity_1,7,2.906,0.4152,5,1,1,0,0,0,Uncharacterized protein HI1480,NONE,P44209,NONE,NONE
1ll0_A_cavity_1,7,2.902,0.4146,6,1,0,0,0,0,Glycogenin-1,NONE,P13280,"Involved in transferase activity, transferring hexosyl groups",NONE
1zfj_A_cavity_2,7,2.902,0.4145,4,2,1,0,0,0,Inosine-5-monophosphate dehydrogenase,NONE,P0C0H6,Nucleotide transport and metabolism,NONE
1hc1_E_cavity_2,7,2.901,0.4144,3,1,2,1,0,0,Hemocyanin A chain,NONE,P04254,NONE,NONE
3e1k_I_cavity_3,7,2.893,0.4134,4,1,1,1,0,0,Galactose/lactose metabolism regulatory protein GAL80,NONE,Q06433,NONE,NONE
2z2n_A_cavity_2,7,2.881,0.4116,4,1,1,0,1,0,Virginiamycin B lyase,NONE,P17978,NONE,NONE
3prc_M_cavity_6,7,2.869,0.4098,5,2,0,0,0,0,Photosynthetic reaction center cytochrome c subunit,NONE,P07173,NONE,NONE
2av6_B_cavity_3,7,2.861,0.4087,4,2,1,0,0,0,Maltodextrin phosphorylase,NONE,P00490,Carbohydrate transport and metabolism,NONE
1uld_D_cavity_1,6,2.45,0.4084,4,1,1,0,0,0,Galectin-2,NONE,Q9P4R8,Involved in sugar binding,NONE
1wz8_D_cavity_3,7,2.856,0.408,5,1,1,0,0,0,Enoyl-CoA hydratase,NONE,Q5SLS5,Involved in catalytic activity,NONE
2e74_A_cavity_3,7,2.843,0.4062,5,1,0,0,1,0,Cytochrome b6,NONE,P83791,Involved in oxidoreductase activity,NONE
1u4j_A_cavity_1,7,2.837,0.4053,4,1,1,1,0,0,Phospholipase A2 isoform 2,NONE,Q6SLM1,Involved in phospholipase A2 activity,NONE
1yaf_B_cavity_2,7,2.818,0.4026,4,1,1,1,0,0,Thiaminase-2,NONE,P25052,Transcription,NONE
3gfo_A_cavity_2,7,2.818,0.4026,4,1,2,0,0,0,Cobalt import ATP-binding protein cbiO 1,NONE,Q0TUN8,NONE,NONE
1yy3_B_cavity_4,7,2.812,0.4017,3,1,2,0,1,0,S-adenosylmethionin,NONE,O32054,NONE,NONE
1nsl_B_cavity_1,7,2.811,0.4016,5,1,1,0,0,0,Putative ribosomal N-acetyltransferase ydaF,NONE,P96579,NONE,NONE
1lrz_A_cavity_2,7,2.81,0.4014,4,0,2,1,0,0,Aminoacyltransferase femA,NONE,P0A0A5,NONE,NONE
1f0x_A_cavity_3,7,2.801,0.4001,4,1,1,0,1,0,D-lactate dehydrogenase,OXIDOREDUCTASE,DLD_ECOLI,"First component of the membrane-bound D-lactate oxidase, which is believed to play an important role in the energization of the active transport of a variety of sugars and amino acids.",NONE
1cfr_A_cavity_1,6,2.397,0.3995,4,1,1,0,0,0,Type-2 restriction enzyme Cfr10I,NONE,P56200,NONE,NONE
2hzt_C_cavity_1,7,2.794,0.3992,6,0,1,0,0,0,Uncharacterized HTH-type transcriptional regulator ytcD,NONE,O34533,NONE,NONE
2nv4_A_cavity_2,7,2.79,0.3986,5,1,1,0,0,0,UPF0066 protein AF_0241,NONE,O29998,NONE,NONE
2yy8_A_cavity_1,6,2.389,0.3982,4,2,0,0,0,0,tRNA ribose 2-O-methyltransferase aTrm56,NONE,O58214,NONE,NONE
1njq_A_cavity_1,7,2.787,0.3981,5,0,2,0,0,0,Transcriptional regulator SUPERMAN,NONE,Q38895,NONE,NONE
2nzt_B_cavity_6,7,2.787,0.3981,5,2,0,0,0,0,Hexokinase-2,TRANSFERASE,HXK2_HUMAN,NONE,NONE
2k8y_A_cavity_1,7,2.786,0.3981,6,1,0,0,0,0,Uncharacterized protein MJ0187,NONE,Q57646,NONE,NONE
1tuw_A_cavity_2,7,2.776,0.3966,5,0,2,0,0,0,Tetracenomycin polyketide synthesis protein tcmI,NONE,P39890,NONE,NONE
3f0o_A_cavity_1,7,2.763,0.3947,3,1,2,1,0,0,Alkylmercury lyase,NONE,P77072,NONE,NONE
1b0n_B_cavity_1,7,2.756,0.3937,6,1,0,0,0,0,HTH-type transcriptional regulator sinR,NONE,P06533,NONE,NONE
1t6l_A_cavity_1,7,2.755,0.3935,5,2,0,0,0,0,DNA polymerase processivity factor,NONE,P16790,NONE,NONE
1e77_A_cavity_3,7,2.747,0.3924,5,1,1,0,0,0,Glucose-6-phosphate 1-dehydrogenase,NONE,P11411,Carbohydrate transport and metabolism,NONE
3ed1_C_cavity_1,7,2.738,0.3911,3,0,2,2,0,0,Gibberellin receptor GID1,NONE,Q6L545,NONE,NONE
1z3a_A_cavity_1,7,2.734,0.3906,3,1,2,1,0,0,tRNA-specific adenosine deaminase,NONE,P68398,NONE,NONE
3gls_E_cavity_2,7,2.731,0.3902,3,2,2,0,0,0,"NAD-dependent deacetylase sirtuin-3, mitochondrial",NONE,Q9NTG7,NONE,NONE
2yqi_A_cavity_1,7,2.724,0.3891,5,1,1,0,0,0,High mobility group protein B3,TRANSCRIPTION,HMGB3_HUMAN,Binds preferentially single-stranded DNA and unwinds double stranded DNA (By similarity).,NONE
2r55_A_cavity_1,7,2.722,0.3888,4,1,1,1,0,0,StAR-related lipid transfer protein 5,NONE,Q9NSY2,NONE,NONE
1i1m_A_cavity_2,9,3.48,0.3867,6,0,2,0,1,0,Branched-chain-amino-acid aminotransferase,NONE,P0AB80,Amino acid transport and metabolism,NONE
1wfi_A_cavity_3,10,3.86,0.386,6,3,1,0,0,0,Nuclear migration protein nudC,NONE,O35685,NONE,NONE
1ujo_A_cavity_1,7,2.687,0.3839,4,2,1,0,0,0,Transgelin,NONE,P37804,NONE,NONE
2rf4_A_cavity_1,7,2.682,0.3831,5,1,1,0,0,0,DNA-directed RNA polymerase I subunit RPA43,NONE,P46669,NONE,NONE
3epy_B_cavity_3,7,2.678,0.3825,6,1,0,0,0,0,Acyl-CoA-binding domain-containing protein 7,NONE,Q8N6N7,NONE,NONE
1wth_D_cavity_2,7,2.677,0.3824,5,1,1,0,0,0,Tail-associated lysozyme,NONE,P16009,NONE,NONE
2ogr_C_cavity_1,6,2.284,0.3806,4,1,1,0,0,0,GFP-like fluorescent chromoprotein FP538,NONE,Q9U6Y4,Pigment protein that is yellow in color,NONE
3b46_B_cavity_2,8,3.044,0.3805,4,2,0,2,0,0,Probable kynurenine--oxoglutarate transaminase BNA3,NONE,P47039,NONE,NONE
1w63_E_cavity_3,7,2.658,0.3798,6,1,0,0,0,0,AP-1 complex subunit gamma-1,NONE,P22892,NONE,NONE
3dax_A_cavity_2,7,2.647,0.3781,3,3,1,0,0,0,Cytochrome P450 7A1,OXIDOREDUCTASE,CP7A1_HUMAN,NONE,NONE
2i36_B_cavity_1,6,2.268,0.378,5,1,0,0,0,0,Rhodopsin,NONE,P02699,NONE,NONE
1t13_A_cavity_1,9,3.395,0.3772,3,2,1,1,2,0,"6,7-dimethyl-8-ribityllumazine synthase 2",NONE,P61713,Coenzyme transport and metabolism,NONE
1vi1_B_cavity_2,7,2.641,0.3772,5,0,1,1,0,0,Fatty acid/phospholipid synthesis protein plsX,NONE,P71018,NONE,NONE
3euj_A_cavity_1,7,2.637,0.3767,3,3,1,0,0,0,Chromosome partition protein mukB,NONE,Q7VL96,NONE,NONE
1wgw_A_cavity_1,7,2.626,0.3751,6,1,0,0,0,0,Signal recognition particle 54 kDa protein,NONE,P14576,NONE,NONE
3fru_E_cavity_2,10,3.741,0.3741,5,1,3,1,0,0,IgG receptor FcRn large subunit p51,NONE,P13599,NONE,NONE
2vkq_A_cavity_2,15,5.605,0.3737,5,3,2,5,0,0,Cytosolic 5-nucleotidase 3,NONE,Q9H0P0,NONE,NONE
1p9p_A_cavity_1,8,2.988,0.3735,6,1,1,0,0,0,tRNA,NONE,P0A876,Involved in RNA binding,NONE
2bas_A_cavity_3,7,2.606,0.3723,4,2,1,0,0,0,Uncharacterized EAL-domain containing protein ykuI,NONE,O35014,NONE,NONE
2hah_A_cavity_1,8,2.974,0.3717,5,1,1,1,0,0,Pol polyprotein,NONE,P16088,NONE,NONE
2vz6_A_cavity_1,8,2.963,0.3704,5,2,0,1,0,0,Calcium/calmodulin-dependent protein kinase type II alpha chain,TRANSFERASE,KCC2A_HUMAN,CaM-kinase II (CAMK2) is a prominent kinase in the central nervous system that may function in long-term potentiation and neurotransmitter release. Member of the NMDAR signaling complex in excitatory synapses it may regulate NMDAR-dependent potentiation o,NONE
1rso_A_cavity_1,6,2.22,0.3701,5,1,0,0,0,0,Disks large homolog 1,NONE,Q62696,NONE,NONE
2vpg_B_cavity_1,8,2.956,0.3695,6,1,1,0,0,0,B-cell CLL/lymphoma 9 protein,GENE REGULATION,BCL9_HUMAN,Involved in signal transduction through the Wnt pathway. Promotes beta-catenins transcriptional activity (By similarity).,"A chromosomal aberration involving BCL9 is found in a patient with precusor B-cell acute lymphoblastic leukemia (ALL). Translocation t(1;14)(q21;q32). This translocation leaves the coding region intact, but may have pathogenic effects due to alterations in the expression level of BCL9. Several cases of translocations within the 3-UTR of BCL9 have been found in B-cell malignancies."
3cb4_F_cavity_4,8,2.95,0.3688,6,1,1,0,0,0,GTP-binding protein lepA,NONE,P60785,NONE,NONE
1j7x_A_cavity_3,7,2.58,0.3686,4,1,1,1,0,0,Retinol-binding protein 3,NONE,Q7SZI7,NONE,NONE
2cst_B_cavity_1,7,2.574,0.3676,5,1,0,1,0,0,"Aspartate aminotransferase, cytoplasmic",NONE,P00504,"Involved in transferase activity, transferring nitrogenous groups",NONE
1ega_B_cavity_1,7,2.572,0.3675,4,1,1,0,1,0,GTP-binding protein era,NONE,P06616,NONE,NONE
2fxt_A_cavity_1,6,2.205,0.3674,5,1,0,0,0,0,Mitochondrial import inner membrane translocase subunit TIM44,NONE,Q01852,NONE,NONE
1t3k_A_cavity_2,8,2.935,0.3669,4,2,1,0,1,0,Dual specificity phosphatase Cdc25,NONE,Q8GY31,NONE,NONE
2j8w_A_cavity_1,9,3.294,0.366,5,1,1,0,2,0,Cytochrome c,NONE,P00142,NONE,NONE
1mro_D_cavity_2,8,2.928,0.366,4,3,1,0,0,0,Methyl-coenzyme M reductase I subunit alpha,NONE,P11558,NONE,NONE
2qxx_A_cavity_1,8,2.925,0.3656,6,2,0,0,0,0,Deoxycytidine triphosphate deaminase,NONE,O07247,NONE,NONE
3bpt_A_cavity_3,13,4.75,0.3654,6,2,2,3,0,0,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",NONE,Q6NVY1,NONE,NONE
2c7y_B_cavity_1,7,2.558,0.3654,5,1,1,0,0,0,"3-ketoacyl-CoA thiolase 2, peroxisomal",NONE,Q56WD9,NONE,NONE
1du2_A_cavity_1,8,2.922,0.3652,3,2,2,1,0,0,DNA polymerase III subunit theta,NONE,P0ABS8,NONE,NONE
1v8b_C_cavity_3,7,2.554,0.3648,5,1,1,0,0,0,Adenosylhomocysteinase,NONE,P50250,Involved in adenosylhomocysteinase activity,NONE
1q5t_B_cavity_1,8,2.911,0.3639,4,2,2,0,0,0,Phospholipase A2 inhibitor,NONE,P04084,NONE,NONE
1d5y_D_cavity_1,8,2.909,0.3637,4,2,0,1,1,0,Right origin-binding protein,NONE,P0ACI0,NONE,NONE
3din_C_cavity_7,8,2.909,0.3636,5,1,1,0,1,0,Protein translocase subunit secA,NONE,Q9X1R4,NONE,NONE
1qkz_H_cavity_1,10,3.634,0.3634,5,2,2,1,0,0,Immunoglobulin G-binding protein G,NONE,P19909,NONE,NONE
1ma1_A_cavity_1,6,2.18,0.3634,5,1,0,0,0,0,Superoxide dismutase [Fe],NONE,P18868,NONE,NONE
1ith_B_cavity_1,8,2.9,0.3625,6,1,0,0,1,0,Hemoglobin F-I,NONE,P06148,NONE,NONE
2g7h_A_cavity_1,8,2.893,0.3616,6,2,0,0,0,0,Methylated-DNA--protein-cysteine methyltransferase,NONE,Q58924,NONE,NONE
2acm_B_cavity_1,7,2.521,0.3602,6,1,0,0,0,0,Mucin-1,NONE,P15941,NONE,NONE
1bgx_H_cavity_1,8,2.878,0.3598,6,0,2,0,0,0,"DNA polymerase I, thermostable",NONE,P19821,"Replication, recombination and repair",NONE
1hsr_A_cavity_1,12,4.307,0.3589,5,2,2,0,3,0,Peroxidase,NONE,P28313,Involved in peroxidase activity,NONE
1k4w_A_cavity_2,8,2.87,0.3587,6,2,0,0,0,0,Nuclear receptor ROR-beta,NONE,P45446,"Nuclear receptor that binds DNA as a monomer to ROR response elements (RORE) containing a single core motif half-site 5'-AGGTCA-3' preceded by a short A-T-rich sequence. Considered to have intrinsic transcriptional activity, have some natural ligands such as all-trans retinoic acid (ATRA) and other retinoids which act as inverse agonists repressing the transcriptional activity. Required for normal postnatal development of rod and cone photoreceptor cells. Modulates rod photoreceptors differentiation at least by inducing the transcription factor NRL-mediated pathway. In cone photoreceptor cells, regulates transcription of OPN1SW. Involved in the regulation of the period length and stability of the circadian rhythm. May control cytoarchitectural patterning of neocortical neurons during development. May act in a dose-dependent manner to regulate barrel formation upon innervation of layer IV neurons by thalamocortical axons. May play a role in the suppression of osteoblastic differentiation through the inhibition of RUNX2 transcriptional activity.",NONE
1p1l_A_cavity_1,8,2.86,0.3575,4,1,2,1,0,0,Divalent-cation tolerance protein cutA,NONE,O28301,NONE,NONE
1sxr_B_cavity_1,8,2.856,0.3571,4,0,2,0,2,0,Peptidoglycan-recognition protein SA,NONE,Q9VYX7,Involved in N-acetylmuramoyl-L-alanine amidase activity,NONE
1yg8_R_cavity_1,8,2.851,0.3564,6,0,2,0,0,0,ATP-dependent Clp protease proteolytic subunit,NONE,P0A6G9,NONE,NONE
2zs0_D_cavity_1,8,2.849,0.3562,6,1,0,0,1,0,Extracellular giant hemoglobin major globin subunit A1,NONE,Q7M419,NONE,NONE
2ysw_C_cavity_1,8,2.846,0.3558,4,2,0,1,1,0,3-dehydroquinate dehydratase,NONE,O66440,NONE,NONE
1smd_A_cavity_1,11,3.911,0.3556,5,1,2,1,2,0,Alpha-amylase 1,NONE,P04745,Carbohydrate transport and metabolism,NONE
1f5z_A_cavity_1,9,3.2,0.3556,6,1,1,0,1,0,N-acetylneuraminate lyase,NONE,P44539,NONE,NONE
1wdw_G_cavity_1,8,2.844,0.3554,5,0,1,1,1,0,Tryptophan synthase alpha chain,NONE,Q8U094,NONE,NONE
2aoz_A_cavity_1,7,2.486,0.3552,4,2,1,0,0,0,Phospholipase A2 homolog,NONE,P82950,NONE,NONE
1k5g_K_cavity_1,8,2.828,0.3535,3,3,0,0,2,0,GTP-binding nuclear protein Ran,SIGNALING PROTEIN/SIGNALING ACTIVATOR,RAN_HUMAN,GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle (By similarity).;Enhances AR-mediated transactivation. Transactivation decreases as the poly-Gln length within AR increases.,NONE
1wl4_A_cavity_1,8,2.826,0.3532,5,1,1,0,1,0,"Acetyl-CoA acetyltransferase, cytosolic",NONE,Q9BWD1,Lipid transport and metabolism,NONE
1r4c_H_cavity_1,8,2.817,0.3521,5,1,2,0,0,0,Cystatin-C,HYDROLASE INHIBITOR,CYTC_HUMAN,"As an inhibitor of cysteine proteinases, this protein is thought to serve an important physiological role as a local regulator of this enzyme activity.","Defects in CST3 are the cause of amyloidosis type 6 (AMYL6) [MIM:105150]; also known as hereditary cerebral hemorrhage with amyloidosis (HCHWA), cerebral amyloid angiopathy (CAA) or cerebroarterial amyloidosis Icelandic type. AMYL6 is a hereditary generalized amyloidosis due to cystatin C amyloid deposition. Cystatin C amyloid accumulates in the walls of arteries, arterioles, and sometimes capillaries and veins of the brain, and in various organs including lymphoid tissue, spleen, salivary glands, and seminal vesicles. Amyloid deposition in the cerebral vessels results in cerebral amyloid angiopathy, cerebral hemorrage and premature stroke. Cystatin C levels in the cerebrospinal fluid are abnormally low.;Genetic variations in CST3 are associated with age- related macular degeneration type 11 (ARMD11) [MIM:611953]. ARMD is a multifactorial eye disease and the most common cause of irreversible vision loss in the developed world. In most patients, the disease is manifest as ophthalmoscopically visible yellowish accumulations of protein and lipid that lie beneath the retinal pigment epithelium and within an elastin-containing structure known as Bruch membrane."
3c0r_C_cavity_1,8,2.813,0.3517,4,2,1,0,1,0,Ubiquitin thioesterase OTU1,NONE,P43558,NONE,NONE
3c72_B_cavity_2,8,2.813,0.3516,5,1,2,0,0,0,Geranylgeranyl transferase type-2 subunit alpha,NONE,Q08602,NONE,NONE
3i4z_B_cavity_1,8,2.813,0.3516,7,1,0,0,0,0,Tryptophan dimethylallyltransferase,NONE,Q50EL0,NONE,NONE
2k2q_A_cavity_1,8,2.811,0.3514,5,0,2,1,0,0,Tyrocidine synthetase 3,NONE,O30409,NONE,NONE
1bco_A_cavity_3,8,2.81,0.3512,5,2,1,0,0,0,Transposase,NONE,P07636,NONE,NONE
1s6d_A_cavity_1,8,2.807,0.3509,5,0,2,0,1,0,Albumin-8,NONE,P23110,NONE,NONE
1ro7_D_cavity_3,8,2.806,0.3508,3,1,3,0,1,0,"Alpha-2,3/8-sialyltransferase",NONE,Q9LAK3,NONE,NONE
2gtt_P_cavity_3,8,2.802,0.3503,6,1,1,0,0,0,Nucleoprotein,NONE,Q7TBN9,NONE,NONE
1c1f_A_cavity_1,7,2.448,0.3497,3,0,4,0,0,0,Congerin-1,NONE,P26788,Involved in sugar binding,NONE
