From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
RARG_HUMAN,P13631,reviewed,RARG_HUMAN,Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3),RARG NR1B3,Homo sapiens (Human),454
P25604,P25604,reviewed,STP22_YEAST,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),385
P81402,P81402,reviewed,NLTP1_PRUPE,Non-specific lipid-transfer protein 1 (LTP 1) (Allergen Pru p 1) (Major allergen Pru p 3) (allergen Pru p 3),,Prunus persica (Peach) (Amygdalus persica),91
Q4JC68,Q4JC68,reviewed,XPD_SULAC,ATP-dependent DNA helicase XPD (SaXPD) (EC 5.6.2.3) (DNA 5'-3' helicase XPD),xpd Saci_0192,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),551
S10A6_HUMAN,P06703,reviewed,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,Homo sapiens (Human),90
Q9HX49,Q9HX49,unreviewed,Q9HX49_PSEAE,Globin domain-containing protein,PA3967,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),130
P04968,P04968,reviewed,ILVA_ECOLI,L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase),ilvA b3772 JW3745,Escherichia coli (strain K12),514
P42315,P42315,reviewed,SCOA_BACSU,Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A),scoA yxjD BSU38990 N15K,Bacillus subtilis (strain 168),238
P32797,P32797,reviewed,CDC13_YEAST,Cell division control protein 13,CDC13 YDL220C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),924
Q01852,Q01852,reviewed,TIM44_YEAST,Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1),TIM44 ISP45 MIM44 MPI1 YIL022W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),431
Q97ZE2,Q97ZE2,reviewed,PYRH_SACS2,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),pyrH SSO0976,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),227
Q8TBX8,Q8TBX8,reviewed,PI42C_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma),PIP4K2C PIP5K2C,Homo sapiens (Human),421
P0A6L4,P0A6L4,reviewed,NANA_ECOLI,N-acetylneuraminate lyase (AcNeu lyase) (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase),nanA npl b3225 JW3194,Escherichia coli (strain K12),297
Q15637,Q15637,reviewed,SF01_HUMAN,Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162),SF1 ZFM1 ZNF162,Homo sapiens (Human),639
Q7M419,Q7M419,reviewed,GLBA1_OLIMA,Extracellular giant hemoglobin major globin subunit A1 (Major globin chain b),ghbA1,Oligobrachia mashikoi (Beard worm),156
Q01738,Q01738,reviewed,CDH_PHACH,Cellobiose dehydrogenase (CDH) (EC 1.1.99.18) (Cellobiose-quinone oxidoreductase),CDH-1; CDH-2,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),773
O94258,O94258,reviewed,XPOT_SCHPO,Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin),los1 SPBP8B7.09c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),978
O34153,O34153,reviewed,GLPK_ENTCA,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK),glpK,Enterococcus casseliflavus (Enterococcus flavescens),506
P0ABU5,P0ABU5,reviewed,ELBB_ECOLI,Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A),elbB elb2 yzzB b3209 JW3176,Escherichia coli (strain K12),217
P0C0Y7,P0C0Y7,reviewed,RCEH_CERSP,Reaction center protein H chain (Photosynthetic reaction center H subunit),puhA,Cereibacter sphaeroides (Rhodobacter sphaeroides),260
P02185,P02185,reviewed,MYG_PHYMC,Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-),MB,Physeter macrocephalus (Sperm whale) (Physeter catodon),154
Q9UJ70,Q9UJ70,reviewed,NAGK_HUMAN,N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase) (Muramyl dipeptide kinase) (EC 2.7.1.-) (N-acetyl-D-mannosamine kinase) (EC 2.7.1.60),NAGK,Homo sapiens (Human),344
P29549,P29549,reviewed,TEBA_STENO,Telomere-binding protein subunit alpha (TEBP alpha) (Telomere-binding protein 56 kDa subunit),MAC-56A; MAC-56K; MAC-56S,Sterkiella nova (Ciliate) (Oxytricha nova),495
P17978,P17978,reviewed,VGB_STAAU,Virginiamycin B lyase (EC 4.2.99.-) (Streptogramin B lyase),vgb vgh,Staphylococcus aureus,299
P18868,P18868,reviewed,SODF_METTH,Superoxide dismutase [Fe] (EC 1.15.1.1),sod MTH_160,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),205
P0AB71,P0AB71,reviewed,ALF_ECOLI,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)",fbaA fba fda b2925 JW2892,Escherichia coli (strain K12),359
P00929,P00929,reviewed,TRPA_SALTY,Tryptophan synthase alpha chain (EC 4.2.1.20),trpA STM1727,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),268
O42807,O42807,reviewed,FAEA_ASPNG,Feruloyl esterase A (EC 3.1.1.73) (Cinnamoyl esterase) (FAE-III) (Ferulic acid esterase A),faeA,Aspergillus niger,281
P25911,P25911,reviewed,LYN_MOUSE,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),Lyn,Mus musculus (Mouse),512
Q99T13,Q99T13,reviewed,Y1866_STAAM,Putative multidrug export ATP-binding/permease protein SAV1866 (EC 7.6.2.-),SAV1866,Staphylococcus aureus (strain Mu50 / ATCC 700699),578
P23881,P23881,reviewed,TCEA3_MOUSE,Transcription elongation factor A protein 3 (Transcription elongation factor S-II protein 3) (Transcription elongation factor TFIIS.h),Tcea3 Tfiish,Mus musculus (Mouse),347
P00693,P00693,reviewed,AMY1_HORVU,"Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)",AMY1.1,Hordeum vulgare (Barley),438
P84284,P9WJH6,reviewed,NDK_MYCTO,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk MT2521,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),136
P84284,P9WJH7,reviewed,NDK_MYCTU,Nucleoside diphosphate kinase (NDK) (NDKA) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk Rv2445c MTCY428.01 MTV008.01c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),136
P0C6G6,P0C6G6,reviewed,MYP2_HORSE,Myelin P2 protein,PMP2,Equus caballus (Horse),132
Q08278,Q08278,reviewed,MED7_YEAST,Mediator of RNA polymerase II transcription subunit 7 (Mediator complex subunit 7),MED7 YOL135C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),222
P19972,P19972,reviewed,TOXK_MILFA,Salt-mediated killer protoxin 1 [Cleaved into: Salt-mediated killer toxin 1 alpha chain (SMK toxin alpha chain); Salt-mediated killer toxin 1 gamma chain (SMK toxin gamma chain); Salt-mediated killer toxin 1 beta chain (SMK toxin beta chain)],SMK1,Millerozyma farinosa (Yeast) (Pichia farinosa),222
P17105,P17105,reviewed,IP3KA_RAT,"Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)",Itpka,Rattus norvegicus (Rat),459
P13340,P13340,reviewed,END7_BPT4,Recombination endonuclease VII (Endo VII) (EC 3.1.-.-) (Gene product 49) (gp49),49,Enterobacteria phage T4 (Bacteriophage T4),157
O58316,O58316,reviewed,NIKR_PYRHO,Putative nickel-responsive regulator,PH0601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),138
TLR1_HUMAN,Q15399,reviewed,TLR1_HUMAN,Toll-like receptor 1 (Toll/interleukin-1 receptor-like protein) (TIL) (CD antigen CD281),TLR1 KIAA0012,Homo sapiens (Human),786
P02299,P02299,reviewed,H3_DROME,Histone H3,His3; His3:CG31613 CG31613; His3:CG33803 CG33803; His3:CG33806 CG33806; His3:CG33809 CG33809; His3:CG33812 CG33812; His3:CG33815 CG33815; His3:CG33818 CG33818; His3:CG33821 CG33821; His3:CG33824 CG33824; His3:CG33827 CG33827; His3:CG33830 CG33830; His3:CG33833 CG33833; His3:CG33836 CG33836; His3:CG33839 CG33839; His3:CG33842 CG33842; His3:CG33845 CG33845; His3:CG33848 CG33848; His3:CG33851 CG33851; His3:CG33854 CG33854; His3:CG33857 CG33857; His3:CG33860 CG33860; His3:CG33863 CG33863; His3:CG33866 CG33866,Drosophila melanogaster (Fruit fly),136
P43214,P43214,reviewed,MPAP2_PHLPR,Pollen allergen Phl p 2 (Allergen Phl p II) (allergen Phl p 2),PHLPII,Phleum pratense (Common timothy),122
ZA2G_HUMAN,P25311,reviewed,ZA2G_HUMAN,Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein),AZGP1 ZAG ZNGP1,Homo sapiens (Human),298
O81223,O81223,reviewed,CNBL4_ARATH,Calcineurin B-like protein 4 (Protein SALT OVERLY SENSITIVE 3),CBL4 SOS3 At5g24270 MOP9.8,Arabidopsis thaliana (Mouse-ear cress),222
RARB_HUMAN,P10826,reviewed,RARB_HUMAN,Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon),RARB HAP NR1B2,Homo sapiens (Human),455
CLPP_HUMAN,Q16740,reviewed,CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Caseinolytic mitochondrial matrix peptidase proteolytic subunit) (Endopeptidase Clp)",CLPP,Homo sapiens (Human),277
O31641,O31641,reviewed,YJCS_BACSU,Uncharacterized protein YjcS,yjcS BSU11970,Bacillus subtilis (strain 168),105
Q08753,Q08753,reviewed,TRHN1_CHLMO,Group 1 truncated hemoglobin LI637 (CtrHb) (Truncated Hb) (Globin LI637),LI637,Chlamydomonas moewusii (Chlamydomonas eugametos),164
P0A436,P0A436,reviewed,PTKB_ECO57,PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200),gatB Z3256 ECs2896,Escherichia coli O157:H7,94
Q9BY41,Q9BY41,reviewed,HDAC8_HUMAN,Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-),HDAC8 HDACL1 CDA07,Homo sapiens (Human),377
ANDR_HUMAN,P10275,reviewed,ANDR_HUMAN,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),AR DHTR NR3C4,Homo sapiens (Human),920
PYRD_PLAF7,Q08210,reviewed,PYRD_PLAF7,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",PFF0160c,Plasmodium falciparum (isolate 3D7),569
P01958,P01958,reviewed,HBA_HORSE,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin],HBA,Equus caballus (Horse),142
P79345,P79345,reviewed,NPC2_BOVIN,NPC intracellular cholesterol transporter 2 (EPV20) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog),NPC2,Bos taurus (Bovine),149
Q96DU7,Q96DU7,reviewed,IP3KC_HUMAN,"Inositol-trisphosphate 3-kinase C (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C)",ITPKC IP3KC,Homo sapiens (Human),683
Q8R3G1,Q8R3G1,reviewed,PP1R8_MOUSE,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8),Ppp1r8 Nipp1,Mus musculus (Mouse),351
P12010,P12010,reviewed,LEU3_HEYCO,3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH),leuB,Heyndrickxia coagulans (Weizmannia coagulans),366
P02958,P02958,reviewed,SSPC_BACSU,"Small, acid-soluble spore protein C (SASP)",sspC BSU19950,Bacillus subtilis (strain 168),72
ST1E1_HUMAN,P49888,reviewed,ST1E1_HUMAN,"Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (EST-1) (Estrogen sulfotransferase) (Sulfotransferase, estrogen-preferring)",SULT1E1 STE,Homo sapiens (Human),294
P20340,P20340,reviewed,RAB6A_HUMAN,Ras-related protein Rab-6A (Rab-6),RAB6A RAB6,Homo sapiens (Human),208
P12257,P12257,reviewed,GUB2_HORVU,"Lichenase-2 (EC 3.2.1.73) ((1->3,1->4)-beta-glucanase isoenzyme EII) (Endo-beta-1,3-1,4 glucanase II) (Lichenase II)",,Hordeum vulgare (Barley),312
P71018,P71018,reviewed,PLSX_BACSU,Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),plsX ylpD BSU15890,Bacillus subtilis (strain 168),333
P48167,P48167,reviewed,GLRB_HUMAN,Glycine receptor subunit beta (Glycine receptor 58 kDa subunit),GLRB,Homo sapiens (Human),497
Q62986,Q62986,reviewed,ESR2_RAT,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),Esr2 Erbeta Nr3a2,Rattus norvegicus (Rat),530
P13134,P13134,reviewed,KEX2_YEAST,Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF),KEX2 QDS1 YNL238W N1122,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),814
P15941,P15941,reviewed,MUC1_HUMAN,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)],MUC1 PUM,Homo sapiens (Human),1255
Q9RP17,Q9RP17,unreviewed,Q9RP17_NEIME,Surface protein A,nspA,Neisseria meningitidis,174
BBP_PIEBR,P09464,reviewed,BBP_PIEBR,Bilin-binding protein (BBP),,Pieris brassicae (White butterfly) (Large white butterfly),189
Q42521,Q42521,reviewed,DCE1_ARATH,Glutamate decarboxylase 1 (GAD 1) (EC 4.1.1.15),GAD1 GAD GDH1 At5g17330 MKP11.30 MKP11_18,Arabidopsis thaliana (Mouse-ear cress),502
P20070,P20070,reviewed,NB5R3_RAT,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1),Cyb5r3 Dia1,Rattus norvegicus (Rat),301
P46327,P46327,reviewed,YXBC_BACSU,Uncharacterized protein YxbC,yxbC yxaQ BSU39880 VE7D,Bacillus subtilis (strain 168),330
P26841,P26841,reviewed,CAT4_PSEAE,Chloramphenicol acetyltransferase (EC 2.3.1.28) (Xenobiotic acetyltransferase) (XAT),cat catB7 PA0706,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),212
P00504,P00504,reviewed,AATC_CHICK,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",GOT1,Gallus gallus (Chicken),412
P30041,P30041,reviewed,PRDX6_HUMAN,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12),PRDX6 AOP2 KIAA0106,Homo sapiens (Human),224
HMOX1_HUMAN,P09601,reviewed,HMOX1_HUMAN,Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form],HMOX1 HO HO1,Homo sapiens (Human),288
P11411,P11411,reviewed,G6PD_LEUME,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.363) (Glucose-6-phosphate dehydrogenase (NAD(P)(+))),zwf,Leuconostoc mesenteroides,486
P00799,P00799,reviewed,CARP_RHIMI,Mucorpepsin (EC 3.4.23.23) (Mucor rennin),,Rhizomucor miehei,430
HMGB3_HUMAN,O15347,reviewed,HMGB3_HUMAN,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),HMGB3 HMG2A HMG4,Homo sapiens (Human),200
P39830,P39830,reviewed,YBAL_ECOLI,Putative cation/proton antiporter YbaL,ybaL ylaA b0478 JW0467,Escherichia coli (strain K12),558
P39958,P39958,reviewed,GDI1_YEAST,Rab GDP-dissociation inhibitor (Rab GDI) (Secretory pathway GDP dissociation inhibitor),GDI1 SEC19 YER136W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),451
Q8NA54,Q8NA54,reviewed,IQUB_HUMAN,IQ motif and ubiquitin-like domain-containing protein,IQUB,Homo sapiens (Human),791
RO52_HUMAN,P19474,reviewed,RO52_HUMAN,E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21),TRIM21 RNF81 RO52 SSA1,Homo sapiens (Human),475
P52700,P52700,reviewed,BLA1_STEMA,Metallo-beta-lactamase L1 type 3 (EC 3.5.2.6) (B3 metallo-beta-lactamase) (Beta-lactamase type III) (Metallo-beta-lactamase L1 type III) (Penicillinase),,Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia),290
P21836,P21836,reviewed,ACES_MOUSE,Acetylcholinesterase (AChE) (EC 3.1.1.7),Ache,Mus musculus (Mouse),614
P35228,P35228,reviewed,NOS2_HUMAN,"Nitric oxide synthase, inducible (EC 1.14.13.39) (Hepatocyte NOS) (HEP-NOS) (Inducible NO synthase) (Inducible NOS) (iNOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)",NOS2 NOS2A,Homo sapiens (Human),1153
P50921,P50921,reviewed,TPIS_MORMI,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),tpiA tim tpi,Moritella marina (Vibrio marinus),256
P84776,P84776,reviewed,PA2H_PROMB,Basic phospholipase A2 homolog zhaoermiatoxin (svPLA2 homolog),,Protobothrops mangshanensis (Mangshan pitviper) (Zhaoermia mangshanensis),121
Q5SLS5,Q5SLS5,unreviewed,Q5SLS5_THET8,Enoyl-CoA hydratase,TTHA0218,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),264
O31410,O31410,reviewed,DEF2_GEOSE,Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2),,Geobacillus stearothermophilus (Bacillus stearothermophilus),184
P40969,P40969,reviewed,CBF3B_YEAST,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3),CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),608
P56839,P56839,reviewed,PEPM_MYTED,Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (Phosphoenolpyruvate mutase) (EC 5.4.2.9),,Mytilus edulis (Blue mussel),295
P22346,P22346,reviewed,PEPX_LACLC,Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11) (X-Pro dipeptidyl-peptidase) (X-prolyl-dipeptidyl aminopeptidase) (X-PDAP),pepX,Lactococcus lactis subsp. cremoris (Streptococcus cremoris),763
P52141,P52141,reviewed,YFJZ_ECOLI,Antitoxin YfjZ,yfjZ b2645 JW2626,Escherichia coli (strain K12),105
P69910,P69910,reviewed,DCEB_ECOLI,Glutamate decarboxylase beta (GAD-beta) (EC 4.1.1.15),gadB b1493 JW1488,Escherichia coli (strain K12),466
Q9HUL9,Q9HUL9,reviewed,MIAA_PSEAE,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),miaA PA4945,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),323
P83791,P83791,reviewed,CYB6_MASLA,Cytochrome b6,petB,Mastigocladus laminosus (Fischerella sp.),215
FABPI_HUMAN,P12104,reviewed,FABPI_HUMAN,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",FABP2 FABPI,Homo sapiens (Human),132
ESR1_HUMAN,P03372,reviewed,ESR1_HUMAN,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),ESR1 ESR NR3A1,Homo sapiens (Human),595
Q6L545,Q6L545,reviewed,GID1_ORYSJ,Gibberellin receptor GID1 (EC 3.-.-.-) (Gibberellin-insensitive dwarf protein 1) (Protein GIBBERELLIN INSENSITIVE DWARF1),GID1 Os05g0407500 LOC_Os05g33730 OJ1657_H11.10 P0040B10.6,Oryza sativa subsp. japonica (Rice),354
