From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P23657,P23657,reviewed,T2P2_PROHU,Type II restriction enzyme PvuII (R.PvuII) (EC 3.1.21.4) (Endonuclease PvuII) (Type-2 restriction enzyme PvuII),pvuIIR,Proteus hauseri,157
Q57609,Q57609,reviewed,GCH3_METJA,GTP cyclohydrolase III (EC 3.5.4.29) (MjGC),gch3 MJ0145,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),268
P02945,P02945,reviewed,BACR_HALSA,Bacteriorhodopsin (BR) (Bacterioopsin) (BO),bop VNG_1467G,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),262
Q91WD2,Q91WD2,reviewed,TRPV6_MOUSE,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),Trpv6,Mus musculus (Mouse),767
P96885,P9WQH6,reviewed,ACCD5_MYCTO,Biotin-dependent acetyl-/propionyl-coenzyme A carboxylase beta5 subunit (Acetyl-CoA carboxylase) (ACC) (EC 2.1.3.15) (Propionyl-CoA carboxylase) (PCC) (EC 2.1.3.-),accD5 pccB MT3379.1,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),548
P96885,P9WQH7,reviewed,ACCD5_MYCTU,Biotin-dependent acetyl-/propionyl-coenzyme A carboxylase beta5 subunit (Acetyl-CoA carboxylase) (ACC) (EC 2.1.3.15) (Propionyl-CoA carboxylase) (PCC) (EC 2.1.3.-),accD5 pccB Rv3280 MTCY71.20,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),548
P00504,P00504,reviewed,AATC_CHICK,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",GOT1,Gallus gallus (Chicken),412
P13448,P13448,reviewed,NHAA_RHOER,Nitrile hydratase subunit alpha (NHase) (Nitrilase) (EC 4.2.1.84),nthA,Rhodococcus erythropolis (Arthrobacter picolinophilus),207
Q9RP17,Q9RP17,unreviewed,Q9RP17_NEIME,Surface protein A,nspA,Neisseria meningitidis,174
P20070,P20070,reviewed,NB5R3_RAT,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1),Cyb5r3 Dia1,Rattus norvegicus (Rat),301
O81223,O81223,reviewed,CNBL4_ARATH,Calcineurin B-like protein 4 (Protein SALT OVERLY SENSITIVE 3),CBL4 SOS3 At5g24270 MOP9.8,Arabidopsis thaliana (Mouse-ear cress),222
ZA2G_HUMAN,P25311,reviewed,ZA2G_HUMAN,Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein),AZGP1 ZAG ZNGP1,Homo sapiens (Human),298
P0C0Y7,P0C0Y7,reviewed,RCEH_CERSP,Reaction center protein H chain (Photosynthetic reaction center H subunit),puhA,Cereibacter sphaeroides (Rhodobacter sphaeroides),260
P0C6G6,P0C6G6,reviewed,MYP2_HORSE,Myelin P2 protein,PMP2,Equus caballus (Horse),132
P18868,P18868,reviewed,SODF_METTH,Superoxide dismutase [Fe] (EC 1.15.1.1),sod MTH_160,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),205
S10A6_HUMAN,P06703,reviewed,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,Homo sapiens (Human),90
P0ABU5,P0ABU5,reviewed,ELBB_ECOLI,Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A),elbB elb2 yzzB b3209 JW3176,Escherichia coli (strain K12),217
P0AAQ9,P0AAQ9,reviewed,YBAA_SHIFL,Uncharacterized protein YbaA,ybaA SF0401 S0408,Shigella flexneri,117
P04968,P04968,reviewed,ILVA_ECOLI,L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase),ilvA b3772 JW3745,Escherichia coli (strain K12),514
Q8TBX8,Q8TBX8,reviewed,PI42C_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma),PIP4K2C PIP5K2C,Homo sapiens (Human),421
RXRG_HUMAN,P48443,reviewed,RXRG_HUMAN,Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma),RXRG NR2B3,Homo sapiens (Human),463
P0AB71,P0AB71,reviewed,ALF_ECOLI,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)",fbaA fba fda b2925 JW2892,Escherichia coli (strain K12),359
EPHB2_HUMAN,P29323,reviewed,EPHB2_HUMAN,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Homo sapiens (Human),1055
P43529,P43529,reviewed,E2BB_ECOLX,"Heat-labile enterotoxin IIB, B chain (LT-IIB)",,Escherichia coli,122
Q16566,Q16566,reviewed,KCC4_HUMAN,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),CAMK4 CAMK CAMK-GR CAMKIV,Homo sapiens (Human),473
P0A9G6,P0A9G6,reviewed,ACEA_ECOLI,Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase),aceA icl b4015 JW3975,Escherichia coli (strain K12),434
P0A6L4,P0A6L4,reviewed,NANA_ECOLI,N-acetylneuraminate lyase (AcNeu lyase) (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase),nanA npl b3225 JW3194,Escherichia coli (strain K12),297
Q45071,Q45071,reviewed,XYND_BACSU,"Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)",xynD BSU18160,Bacillus subtilis (strain 168),513
Q62986,Q62986,reviewed,ESR2_RAT,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),Esr2 Erbeta Nr3a2,Rattus norvegicus (Rat),530
Q01738,Q01738,reviewed,CDH_PHACH,Cellobiose dehydrogenase (CDH) (EC 1.1.99.18) (Cellobiose-quinone oxidoreductase),CDH-1; CDH-2,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),773
P02958,P02958,reviewed,SSPC_BACSU,"Small, acid-soluble spore protein C (SASP)",sspC BSU19950,Bacillus subtilis (strain 168),72
Q6SLM1,Q6SLM1,reviewed,PA2B5_BUNCE,Basic phospholipase A2 2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Bungarus caeruleus (Indian krait),137
P25604,P25604,reviewed,STP22_YEAST,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),385
P0A436,P0A436,reviewed,PTKB_ECO57,PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200),gatB Z3256 ECs2896,Escherichia coli O157:H7,94
P01731,P01731,reviewed,CD8A_MOUSE,T-cell surface glycoprotein CD8 alpha chain (T-cell surface glycoprotein Lyt-2) (CD antigen CD8a),Cd8a Lyt-2 Lyt2,Mus musculus (Mouse),247
Q8R3G1,Q8R3G1,reviewed,PP1R8_MOUSE,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8),Ppp1r8 Nipp1,Mus musculus (Mouse),351
Q06850,Q06850,reviewed,CDPK1_ARATH,Calcium-dependent protein kinase 1 (AtCDPK 1) (CDPK 1) (EC 2.7.11.1) (Calcium-dependent protein kinase isoform AK1),CPK1 AK1 At5g04870 MUK11.19,Arabidopsis thaliana (Mouse-ear cress),610
Q9HX49,Q9HX49,unreviewed,Q9HX49_PSEAE,Globin domain-containing protein,PA3967,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),130
O94258,O94258,reviewed,XPOT_SCHPO,Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin),los1 SPBP8B7.09c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),978
P00136,P00136,reviewed,CYC31_DESNO,"Cytochrome c3, 13 kDa",,Desulfomicrobium norvegicum (strain DSM 1741 / NCIMB 8310) (Desulfovibrio baculatus (strain Norway 4)) (Desulfovibrio desulfuricans (strain Norway 4)),118
P02696,P02696,reviewed,RET1_RAT,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I),Rbp1 Rbp-1,Rattus norvegicus (Rat),135
Q44532,Q44532,reviewed,FENR_AZOVI,Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2) (NADPH:ferredoxin reductase) (Protein X),fpr,Azotobacter vinelandii,258
P83791,P83791,reviewed,CYB6_MASLA,Cytochrome b6,petB,Mastigocladus laminosus (Fischerella sp.),215
O07247,P9WP16,reviewed,DCDB_MYCTO,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)",dcd MT0336,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),190
O07247,P9WP17,reviewed,DCDB_MYCTU,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)",dcd Rv0321 MTCY63.26,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),190
Q7P0E6,Q7P0E6,reviewed,HIS2_CHRVO,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),hisE CV_0621,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),108
CLPP_HUMAN,Q16740,reviewed,CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Caseinolytic mitochondrial matrix peptidase proteolytic subunit) (Endopeptidase Clp)",CLPP,Homo sapiens (Human),277
P57098,P57098,reviewed,GLXK_NEIMA,Glycerate kinase (EC 2.7.1.31),glxK NMA1473,Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491),371
P26137,P26137,reviewed,HEMA_I82A0,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,Influenza A virus (strain A/Mallard/Astrakhan/244/1982 H14N6) (Influenza A virus (strain A/Mallard/Gurjev/244/1982 H14N6)),563
P80371,P80371,reviewed,RS2_THET8,Small ribosomal subunit protein uS2 (30S ribosomal protein S2),rpsB rps2 TTHA0861,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),256
MCR_HUMAN,P08235,reviewed,MCR_HUMAN,Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2),NR3C2 MCR MLR,Homo sapiens (Human),984
P13134,P13134,reviewed,KEX2_YEAST,Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF),KEX2 QDS1 YNL238W N1122,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),814
Q55013,Q55013,reviewed,CY550_SYNY3,Photosystem II extrinsic protein V (PsbV) (Cytochrome c-550) (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c),psbV petK sll0258,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),160
PYRD_PLAF7,Q08210,reviewed,PYRD_PLAF7,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",PFF0160c,Plasmodium falciparum (isolate 3D7),569
P77712,P77712,reviewed,FADM_ECOLI,Long-chain acyl-CoA thioesterase FadM (EC 3.1.2.-) (Acyl-CoA thioester hydrolase) (Thioesterase 3) (Thioesterase III),fadM tesC ybaW b0443 JW0433,Escherichia coli (strain K12),132
O42807,O42807,reviewed,FAEA_ASPNG,Feruloyl esterase A (EC 3.1.1.73) (Cinnamoyl esterase) (FAE-III) (Ferulic acid esterase A),faeA,Aspergillus niger,281
Q96R05,Q96R05,reviewed,RET7_HUMAN,Retinoid-binding protein 7 (Cellular retinoic acid-binding protein 4) (CRABP4) (CRBP4) (Cellular retinoic acid-binding protein IV) (CRABP-IV),RBP7,Homo sapiens (Human),134
Q9P4R8,Q9P4R8,reviewed,CGL2_COPCI,Galectin-2 (Cgl-II) (Galectin II),Cgl2,Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata),150
P02701,P02701,reviewed,AVID_CHICK,Avidin,AVD,Gallus gallus (Chicken),152
P39315,P39315,reviewed,QOR2_ECOLI,Quinone oxidoreductase 2 (EC 1.6.5.2),qorB qor2 ytfG b4211 JW4169,Escherichia coli (strain K12),286
P32797,P32797,reviewed,CDC13_YEAST,Cell division control protein 13,CDC13 YDL220C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),924
O58316,O58316,reviewed,NIKR_PYRHO,Putative nickel-responsive regulator,PH0601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),138
P76329,P76329,reviewed,MPGP_ECOLI,Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70),yedP b1955 JW1938,Escherichia coli (strain K12),271
P28012,P28012,reviewed,CFI1_MEDSA,Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6),CHI1 CHI-1,Medicago sativa (Alfalfa),222
P23881,P23881,reviewed,TCEA3_MOUSE,Transcription elongation factor A protein 3 (Transcription elongation factor S-II protein 3) (Transcription elongation factor TFIIS.h),Tcea3 Tfiish,Mus musculus (Mouse),347
Q15543,Q15543,reviewed,TAF13_HUMAN,Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18),TAF13 TAF2K TAFII18,Homo sapiens (Human),124
P53999,P53999,reviewed,TCP4_HUMAN,Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14),SUB1 PC4 RPO2TC1,Homo sapiens (Human),127
P25911,P25911,reviewed,LYN_MOUSE,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),Lyn,Mus musculus (Mouse),512
P0ABS5,P0ABS5,reviewed,DNAG_ECOLI,DNA primase (EC 2.7.7.101),dnaG dnaP parB b3066 JW3038,Escherichia coli (strain K12),581
Q97ZE2,Q97ZE2,reviewed,PYRH_SACS2,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),pyrH SSO0976,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),227
P18902,P18902,reviewed,RET4_BOVIN,Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP),RBP4,Bos taurus (Bovine),183
Q7M419,Q7M419,reviewed,GLBA1_OLIMA,Extracellular giant hemoglobin major globin subunit A1 (Major globin chain b),ghbA1,Oligobrachia mashikoi (Beard worm),156
P14429,P14429,reviewed,HA17_MOUSE,"H-2 class I histocompatibility antigen, Q7 alpha chain (QA-2 antigen)",H2-Q7,Mus musculus (Mouse),334
P08716,P08716,reviewed,HLYBP_ECOLX,Alpha-hemolysin translocation ATP-binding protein HlyB,hlyB,Escherichia coli,707
P13988,P13988,reviewed,TNSA_ECOLX,Transposon Tn7 transposition protein TnsA (Restriction enzyme-like endonuclease TnsA) (EC 3.1.21.-),tnsA,Escherichia coli,273
P51149,P51149,reviewed,RAB7A_HUMAN,Ras-related protein Rab-7a (EC 3.6.5.2),RAB7A RAB7,Homo sapiens (Human),207
O66742,O66742,reviewed,DTD_AQUAE,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase),dtd aq_428,Aquifex aeolicus (strain VF5),148
P47039,P47039,reviewed,BNA3_YEAST,Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase),BNA3 YJL060W J1138,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),444
P0AGB6,P0AGB6,reviewed,RPOE_ECOLI,ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24),rpoE sigE b2573 JW2557,Escherichia coli (strain K12),191
P29183,P29183,reviewed,LIPP_HORSE,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),PNLIP,Equus caballus (Horse),461
Q08278,Q08278,reviewed,MED7_YEAST,Mediator of RNA polymerase II transcription subunit 7 (Mediator complex subunit 7),MED7 YOL135C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),222
P58989,P58989,reviewed,CRA1_HOMGA,Crustacyanin-A1 subunit,,Homarus gammarus (European lobster) (Homarus vulgaris),181
P00693,P00693,reviewed,AMY1_HORVU,"Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)",AMY1.1,Hordeum vulgare (Barley),438
HXK2_HUMAN,P52789,reviewed,HXK2_HUMAN,Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase),HK2,Homo sapiens (Human),917
P17516,P17516,reviewed,AK1C4_HUMAN,Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha-hydroxysteroid dehydrogenase type I) (3-alpha-HSD1) (EC 1.1.1.357) (3alpha-hydroxysteroid 3-dehydrogenase) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA),AKR1C4 CHDR,Homo sapiens (Human),323
P40969,P40969,reviewed,CBF3B_YEAST,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3),CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),608
RAN_HUMAN,P62826,reviewed,RAN_HUMAN,GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein),RAN ARA24 OK/SW-cl.81,Homo sapiens (Human),216
P51687,P51687,reviewed,SUOX_HUMAN,"Sulfite oxidase, mitochondrial (EC 1.8.3.1)",SUOX,Homo sapiens (Human),545
Q8N6N7,Q8N6N7,reviewed,ACBD7_HUMAN,Acyl-CoA-binding domain-containing protein 7,ACBD7,Homo sapiens (Human),88
Q9RT21,Q9RT21,reviewed,TIG_DEIRA,Trigger factor (TF) (EC 5.2.1.8) (PPIase),tig DR_1948,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),465
P02186,P02186,reviewed,MYG_ELEMA,Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-),MB,Elephas maximus (Indian elephant),154
P68135,P68135,reviewed,ACTS_RABIT,"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]",ACTA1 ACTA,Oryctolagus cuniculus (Rabbit),377
P15941,P15941,reviewed,MUC1_HUMAN,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)],MUC1 PUM,Homo sapiens (Human),1255
